Place,Population,Per Capita Income,Poverty Count,Poverty Rate,County,State
"Chase County, Kansas",2637,23055,300,11.38%,Chase County,Kansas
"Chautauqua County, Kansas",3323,22962,605,18.21%,Chautauqua County,Kansas
"Cherokee County, Kansas",20179,22615,2604,12.9%,Cherokee County,Kansas
"Cheyenne County, Kansas",2665,29041,247,9.27%,Cheyenne County,Kansas
"Clark County, Kansas",2026,28227,213,10.51%,Clark County,Kansas
"Clay County, Kansas",8082,29235,642,7.94%,Clay County,Kansas
"Cloud County, Kansas",8938,27279,965,10.8%,Cloud County,Kansas
"Coffey County, Kansas",8254,33371,1008,12.21%,Coffey County,Kansas
"Comanche County, Kansas",1740,30355,175,10.06%,Comanche County,Kansas
"Cowley County, Kansas",35351,24726,4675,13.22%,Cowley County,Kansas
"Crawford County, Kansas",38968,23091,7513,19.28%,Crawford County,Kansas
"Decatur County, Kansas",2860,30905,433,15.14%,Decatur County,Kansas
"Dickinson County, Kansas",18828,27219,2184,11.6%,Dickinson County,Kansas
"Doniphan County, Kansas",7684,25775,926,12.05%,Doniphan County,Kansas
"Douglas County, Kansas",120290,32281,20169,16.77%,Douglas County,Kansas
"Edwards County, Kansas",2869,27431,277,9.65%,Edwards County,Kansas
"Elk County, Kansas",2523,23875,449,17.8%,Elk County,Kansas
"Ellis County, Kansas",28775,30956,4271,14.84%,Ellis County,Kansas
"Ellsworth County, Kansas",6231,26443,493,7.91%,Ellsworth County,Kansas
"Finney County, Kansas",36750,24152,4459,12.13%,Finney County,Kansas
"Ford County, Kansas",34179,23293,4858,14.21%,Ford County,Kansas
"Franklin County, Kansas",25558,26998,2441,9.55%,Franklin County,Kansas
"Geary County, Kansas",34025,23897,4292,12.61%,Geary County,Kansas
"Gove County, Kansas",2644,28859,259,9.8%,Gove County,Kansas
"Graham County, Kansas",2519,27236,242,9.61%,Graham County,Kansas
"Grant County, Kansas",7467,25411,848,11.36%,Grant County,Kansas
"Gray County, Kansas",6039,29421,338,5.6%,Gray County,Kansas
"Greeley County, Kansas",1185,28982,86,7.26%,Greeley County,Kansas
"Greenwood County, Kansas",6081,27500,799,13.14%,Greenwood County,Kansas
"Hamilton County, Kansas",2591,22003,272,10.5%,Hamilton County,Kansas
"Harper County, Kansas",5594,24800,874,15.62%,Harper County,Kansas
"Harvey County, Kansas",34503,28226,3172,9.19%,Harvey County,Kansas
"Haskell County, Kansas",4018,26814,418,10.4%,Haskell County,Kansas
"Hodgeman County, Kansas",1876,30044,204,10.87%,Hodgeman County,Kansas
"Jackson County, Kansas",13266,28127,1525,11.5%,Jackson County,Kansas
"Jefferson County, Kansas",18890,30655,1398,7.4%,Jefferson County,Kansas
"Jewell County, Kansas",2885,27731,501,17.37%,Jewell County,Kansas
"Johnson County, Kansas",591506,46517,31422,5.31%,Johnson County,Kansas
"Kearny County, Kansas",3907,23415,749,19.17%,Kearny County,Kansas
"Kingman County, Kansas",7340,34578,549,7.48%,Kingman County,Kansas
"Kiowa County, Kansas",2505,26321,155,6.19%,Kiowa County,Kansas
"Labette County, Kansas",20119,24572,3619,17.99%,Labette County,Kansas
"Lane County, Kansas",1564,28435,187,11.96%,Lane County,Kansas
"Leavenworth County, Kansas",80745,32444,6379,7.9%,Leavenworth County,Kansas
"Lincoln County, Kansas",3044,25803,271,8.9%,Lincoln County,Kansas
"Linn County, Kansas",9671,27926,1565,16.18%,Linn County,Kansas
"Logan County, Kansas",2805,28135,224,7.99%,Logan County,Kansas
"Lyon County, Kansas",33251,26904,5356,16.11%,Lyon County,Kansas
"McPherson County, Kansas",28567,31006,2382,8.34%,McPherson County,Kansas
"Marion County, Kansas",11964,26577,971,8.12%,Marion County,Kansas
"Marshall County, Kansas",9749,28469,854,8.76%,Marshall County,Kansas
"Meade County, Kansas",4180,28945,264,6.32%,Meade County,Kansas
"Miami County, Kansas",33417,35659,2254,6.75%,Miami County,Kansas
"Mitchell County, Kansas",6145,25801,874,14.22%,Mitchell County,Kansas
"Montgomery County, Kansas",32521,24647,5911,18.18%,Montgomery County,Kansas
"Morris County, Kansas",5566,29558,493,8.86%,Morris County,Kansas
"Morton County, Kansas",2754,23447,273,9.91%,Morton County,Kansas
"Nemaha County, Kansas",10121,30344,859,8.49%,Nemaha County,Kansas
"Neosho County, Kansas",16108,23845,2926,18.16%,Neosho County,Kansas
"Ness County, Kansas",2876,34243,287,9.98%,Ness County,Kansas
"Norton County, Kansas",5446,25352,564,10.36%,Norton County,Kansas
"Osage County, Kansas",15881,27951,2226,14.02%,Osage County,Kansas
"Osborne County, Kansas",3530,30843,506,14.33%,Osborne County,Kansas
"Ottawa County, Kansas",5822,29230,567,9.74%,Ottawa County,Kansas
"Pawnee County, Kansas",6629,25131,353,5.33%,Pawnee County,Kansas
"Phillips County, Kansas",5340,27431,511,9.57%,Phillips County,Kansas
"Pottawatomie County, Kansas",23847,29345,1900,7.97%,Pottawatomie County,Kansas
"Pratt County, Kansas",9452,27442,1047,11.08%,Pratt County,Kansas
"Rawlins County, Kansas",2502,28590,268,10.71%,Rawlins County,Kansas
"Reno County, Kansas",62765,27073,7701,12.27%,Reno County,Kansas
"Republic County, Kansas",4658,27424,492,10.56%,Republic County,Kansas
"Rice County, Kansas",9658,26737,1271,13.16%,Rice County,Kansas
"Riley County, Kansas",75056,27272,14591,19.44%,Riley County,Kansas
"Rooks County, Kansas",5053,26420,380,7.52%,Rooks County,Kansas
"Rush County, Kansas",3022,26552,304,10.06%,Rush County,Kansas
"Russell County, Kansas",6948,26090,761,10.95%,Russell County,Kansas
"Saline County, Kansas",54701,28813,6132,11.21%,Saline County,Kansas
"Scott County, Kansas",4917,29315,292,5.94%,Scott County,Kansas
"Sedgwick County, Kansas",513375,29530,69506,13.54%,Sedgwick County,Kansas
"Seward County, Kansas",22349,20754,3668,16.41%,Seward County,Kansas
"Shawnee County, Kansas",177852,30974,19811,11.14%,Shawnee County,Kansas
"Sheridan County, Kansas",2506,35465,130,5.19%,Sheridan County,Kansas
"Sherman County, Kansas",5938,27919,660,11.11%,Sherman County,Kansas
"Smith County, Kansas",3627,28994,400,11.03%,Smith County,Kansas
"Stafford County, Kansas",4181,28060,507,12.13%,Stafford County,Kansas
"Stanton County, Kansas",2052,23033,370,18.03%,Stanton County,Kansas
"Stevens County, Kansas",5603,24652,1099,19.61%,Stevens County,Kansas
"Sumner County, Kansas",23114,26954,2667,11.54%,Sumner County,Kansas
"Thomas County, Kansas",7810,30442,883,11.31%,Thomas County,Kansas
"Trego County, Kansas",2840,34230,191,6.73%,Trego County,Kansas
"Wabaunsee County, Kansas",6889,27876,330,4.79%,Wabaunsee County,Kansas
"Wallace County, Kansas",1574,27966,146,9.28%,Wallace County,Kansas
"Washington County, Kansas",5493,27841,581,10.58%,Washington County,Kansas
"Wichita County, Kansas",2130,29126,69,3.24%,Wichita County,Kansas
"Wilson County, Kansas",8688,27471,1196,13.77%,Wilson County,Kansas
"Woodson County, Kansas",3157,22672,604,19.13%,Woodson County,Kansas
"Wyandotte County, Kansas",164861,22335,31261,18.96%,Wyandotte County,Kansas
"Adair County, Kentucky",19222,21196,3655,19.01%,Adair County,Kentucky
"Allen County, Kentucky",20944,22294,3866,18.46%,Allen County,Kentucky
"Anderson County, Kentucky",22409,27250,3480,15.53%,Anderson County,Kentucky
"Ballard County, Kentucky",8032,25217,1213,15.1%,Ballard County,Kentucky
"Barren County, Kentucky",43884,21869,10368,23.63%,Barren County,Kentucky
"Bath County, Kentucky",12355,22238,2501,20.24%,Bath County,Kentucky
"Bell County, Kentucky",26791,15501,9218,34.41%,Bell County,Kentucky
"Boone County, Kentucky",130820,35991,9271,7.09%,Boone County,Kentucky
"Bourbon County, Kentucky",20058,27802,3005,14.98%,Bourbon County,Kentucky
"Boyd County, Kentucky",47682,26193,8622,18.08%,Boyd County,Kentucky
"Boyle County, Kentucky",29972,26413,3801,12.68%,Boyle County,Kentucky
"Bracken County, Kentucky",8305,24124,1463,17.62%,Bracken County,Kentucky
"Breathitt County, Kentucky",12977,19053,4367,33.65%,Breathitt County,Kentucky
"Breckinridge County, Kentucky",20176,23286,3674,18.21%,Breckinridge County,Kentucky
"Bullitt County, Kentucky",80171,29333,7150,8.92%,Bullitt County,Kentucky
"Butler County, Kentucky",12764,22951,2407,18.86%,Butler County,Kentucky
"Caldwell County, Kentucky",12702,28799,2112,16.63%,Caldwell County,Kentucky
"Calloway County, Kentucky",38837,23219,7541,19.42%,Calloway County,Kentucky
"Campbell County, Kentucky",92861,34025,12081,13.01%,Campbell County,Kentucky
"Carlisle County, Kentucky",4784,30065,796,16.64%,Carlisle County,Kentucky
"Carroll County, Kentucky",10671,25217,2474,23.18%,Carroll County,Kentucky
"Carter County, Kentucky",27159,18778,6674,24.57%,Carter County,Kentucky
"Casey County, Kentucky",15885,18457,3936,24.78%,Casey County,Kentucky
"Christian County, Kentucky",71414,23021,12635,17.69%,Christian County,Kentucky
"Clark County, Kentucky",35971,28802,5205,14.47%,Clark County,Kentucky
"Clay County, Kentucky",20368,15391,6940,34.07%,Clay County,Kentucky
"Clinton County, Kentucky",10193,21019,2423,23.77%,Clinton County,Kentucky
"Crittenden County, Kentucky",9000,23959,1258,13.98%,Crittenden County,Kentucky
"Cumberland County, Kentucky",6697,18728,1406,20.99%,Cumberland County,Kentucky
"Daviess County, Kentucky",100474,28806,16174,16.1%,Daviess County,Kentucky
"Edmonson County, Kentucky",12138,21802,2182,17.98%,Edmonson County,Kentucky
"Elliott County, Kentucky",7510,13856,1808,24.07%,Elliott County,Kentucky
"Estill County, Kentucky",14224,17746,4345,30.55%,Estill County,Kentucky
"Fayette County, Kentucky",320601,34442,51715,16.13%,Fayette County,Kentucky
"Fleming County, Kentucky",14513,23593,2877,19.82%,Fleming County,Kentucky
"Floyd County, Kentucky",36456,19471,10973,30.1%,Floyd County,Kentucky
"Franklin County, Kentucky",50529,30711,6015,11.9%,Franklin County,Kentucky
"Fulton County, Kentucky",6130,18247,1604,26.17%,Fulton County,Kentucky
"Gallatin County, Kentucky",8737,23638,1258,14.4%,Gallatin County,Kentucky
"Garrard County, Kentucky",17445,26272,2712,15.55%,Garrard County,Kentucky
"Grant County, Kentucky",24951,23721,4012,16.08%,Grant County,Kentucky
"Graves County, Kentucky",37248,24750,7165,19.24%,Graves County,Kentucky
"Grayson County, Kentucky",26247,21231,6585,25.09%,Grayson County,Kentucky
"Green County, Kentucky",10979,22506,1953,17.79%,Green County,Kentucky
"Greenup County, Kentucky",35555,27722,5909,16.62%,Greenup County,Kentucky
"Hancock County, Kentucky",8720,24830,1015,11.64%,Hancock County,Kentucky
"Hardin County, Kentucky",108527,28606,13938,12.84%,Hardin County,Kentucky
"Harlan County, Kentucky",26699,16468,9335,34.96%,Harlan County,Kentucky
"Harrison County, Kentucky",18722,24154,3225,17.23%,Harrison County,Kentucky
"Hart County, Kentucky",18729,20742,3944,21.06%,Hart County,Kentucky
"Henderson County, Kentucky",45829,26212,8273,18.05%,Henderson County,Kentucky
"Henry County, Kentucky",15911,25202,2890,18.16%,Henry County,Kentucky
"Hickman County, Kentucky",4510,28114,647,14.35%,Hickman County,Kentucky
"Hopkins County, Kentucky",45331,25042,8534,18.83%,Hopkins County,Kentucky
"Jackson County, Kentucky",13369,18560,4240,31.72%,Jackson County,Kentucky
"Jefferson County, Kentucky",767419,33251,106938,13.93%,Jefferson County,Kentucky
"Jessamine County, Kentucky",53032,31146,8651,16.31%,Jessamine County,Kentucky
"Johnson County, Kentucky",22634,21974,5003,22.1%,Johnson County,Kentucky
"Kenton County, Kentucky",165668,33330,18716,11.3%,Kenton County,Kentucky
"Knott County, Kentucky",15260,18475,4531,29.69%,Knott County,Kentucky
"Knox County, Kentucky",31365,17832,10113,32.24%,Knox County,Kentucky
"Larue County, Kentucky",14204,24803,2013,14.17%,Larue County,Kentucky
"Laurel County, Kentucky",60357,22398,13790,22.85%,Laurel County,Kentucky
"Lawrence County, Kentucky",15671,18124,4115,26.26%,Lawrence County,Kentucky
"Lee County, Kentucky",6881,17386,2236,32.5%,Lee County,Kentucky
"Leslie County, Kentucky",10283,15838,3680,35.79%,Leslie County,Kentucky
"Letcher County, Kentucky",22295,20641,7409,33.23%,Letcher County,Kentucky
"Lewis County, Kentucky",13417,19860,3219,23.99%,Lewis County,Kentucky
"Lincoln County, Kentucky",24476,21480,5086,20.78%,Lincoln County,Kentucky
"Livingston County, Kentucky",9235,27728,1331,14.41%,Livingston County,Kentucky
"Logan County, Kentucky",26902,24221,4507,16.75%,Logan County,Kentucky
"Lyon County, Kentucky",8271,26994,1100,13.3%,Lyon County,Kentucky
"McCracken County, Kentucky",65268,32357,10042,15.39%,McCracken County,Kentucky
"McCreary County, Kentucky",17465,14505,5330,30.52%,McCreary County,Kentucky
"McLean County, Kentucky",9283,25610,1471,15.85%,McLean County,Kentucky
"Madison County, Kentucky",90802,25837,15901,17.51%,Madison County,Kentucky
"Magoffin County, Kentucky",12491,18243,3486,27.91%,Magoffin County,Kentucky
"Marion County, Kentucky",19244,22241,4236,22.01%,Marion County,Kentucky
"Marshall County, Kentucky",31192,29792,3177,10.19%,Marshall County,Kentucky
"Martin County, Kentucky",11648,18017,2064,17.72%,Martin County,Kentucky
"Mason County, Kentucky",17112,28411,2978,17.4%,Mason County,Kentucky
"Meade County, Kentucky",28182,27861,3369,11.95%,Meade County,Kentucky
"Menifee County, Kentucky",6443,20588,1507,23.39%,Menifee County,Kentucky
"Mercer County, Kentucky",21592,27061,3032,14.04%,Mercer County,Kentucky
"Metcalfe County, Kentucky",10036,19121,2304,22.96%,Metcalfe County,Kentucky
"Monroe County, Kentucky",10627,23481,2493,23.46%,Monroe County,Kentucky
"Montgomery County, Kentucky",27884,22381,5006,17.95%,Montgomery County,Kentucky
"Morgan County, Kentucky",13288,18310,2629,19.78%,Morgan County,Kentucky
"Muhlenberg County, Kentucky",30951,22612,4587,14.82%,Muhlenberg County,Kentucky
"Nelson County, Kentucky",45650,32735,4147,9.08%,Nelson County,Kentucky
"Nicholas County, Kentucky",7153,22212,1965,27.47%,Nicholas County,Kentucky
"Ohio County, Kentucky",24071,24297,4435,18.42%,Ohio County,Kentucky
"Oldham County, Kentucky",65967,42272,3664,5.55%,Oldham County,Kentucky
"Owen County, Kentucky",10796,25640,2021,18.72%,Owen County,Kentucky
"Owsley County, Kentucky",4442,18940,1305,29.38%,Owsley County,Kentucky
"Pendleton County, Kentucky",14572,24120,2554,17.53%,Pendleton County,Kentucky
"Perry County, Kentucky",26624,23135,6712,25.21%,Perry County,Kentucky
"Pike County, Kentucky",59497,22437,14545,24.45%,Pike County,Kentucky
"Powell County, Kentucky",12304,20841,2548,20.71%,Powell County,Kentucky
"Pulaski County, Kentucky",64350,24646,14330,22.27%,Pulaski County,Kentucky
"Robertson County, Kentucky",2123,22552,522,24.59%,Robertson County,Kentucky
"Rockcastle County, Kentucky",16820,20892,3284,19.52%,Rockcastle County,Kentucky
"Rowan County, Kentucky",24507,20488,5991,24.45%,Rowan County,Kentucky
"Russell County, Kentucky",17778,20674,4054,22.8%,Russell County,Kentucky
"Scott County, Kentucky",54667,32796,6111,11.18%,Scott County,Kentucky
"Shelby County, Kentucky",47325,32468,5174,10.93%,Shelby County,Kentucky
"Simpson County, Kentucky",18183,24458,2770,15.23%,Simpson County,Kentucky
"Spencer County, Kentucky",18680,33661,1799,9.63%,Spencer County,Kentucky
"Taylor County, Kentucky",25571,23602,4365,17.07%,Taylor County,Kentucky
"Todd County, Kentucky",12316,23143,2254,18.3%,Todd County,Kentucky
"Trigg County, Kentucky",14449,28264,1673,11.58%,Trigg County,Kentucky
"Trimble County, Kentucky",8558,27237,1460,17.06%,Trimble County,Kentucky
"Union County, Kentucky",14638,23097,2905,19.85%,Union County,Kentucky
"Warren County, Kentucky",128652,28558,20285,15.77%,Warren County,Kentucky
"Washington County, Kentucky",12023,26035,1777,14.78%,Washington County,Kentucky
"Wayne County, Kentucky",20546,25707,5073,24.69%,Wayne County,Kentucky
"Webster County, Kentucky",13068,22911,2897,22.17%,Webster County,Kentucky
"Whitley County, Kentucky",36131,20547,8037,22.24%,Whitley County,Kentucky
"Wolfe County, Kentucky",7207,14923,2058,28.56%,Wolfe County,Kentucky
"Woodford County, Kentucky",26318,32264,3375,12.82%,Woodford County,Kentucky
"Acadia Parish, Louisiana",62457,23122,14822,23.73%,Acadia Parish,Louisiana
"Allen Parish, Louisiana",25618,20964,3056,11.93%,Allen Parish,Louisiana
"Ascension Parish, Louisiana",123114,34168,12959,10.53%,Ascension Parish,Louisiana
"Assumption Parish, Louisiana",22478,25752,4261,18.96%,Assumption Parish,Louisiana
"Avoyelles Parish, Louisiana",40669,22017,8988,22.1%,Avoyelles Parish,Louisiana
"Beauregard Parish, Louisiana",37043,26331,5668,15.3%,Beauregard Parish,Louisiana
"Bienville Parish, Louisiana",13564,21491,3759,27.71%,Bienville Parish,Louisiana
"Bossier Parish, Louisiana",126499,28766,21234,16.79%,Bossier Parish,Louisiana
"Caddo Parish, Louisiana",245831,26545,56184,22.85%,Caddo Parish,Louisiana
"Calcasieu Parish, Louisiana",201619,28778,34263,16.99%,Calcasieu Parish,Louisiana
"Caldwell Parish, Louisiana",9992,23216,2393,23.95%,Caldwell Parish,Louisiana
"Cameron Parish, Louisiana",6930,28358,683,9.86%,Cameron Parish,Louisiana
"Catahoula Parish, Louisiana",9766,22412,1878,19.23%,Catahoula Parish,Louisiana
"Claiborne Parish, Louisiana",15985,16770,4625,28.93%,Claiborne Parish,Louisiana
"Concordia Parish, Louisiana",19778,19092,4436,22.43%,Concordia Parish,Louisiana
"De Soto Parish, Louisiana",27289,26767,5942,21.77%,De Soto Parish,Louisiana
"East Baton Rouge Parish, Louisiana",443763,32431,78365,17.66%,East Baton Rouge Parish,Louisiana
"East Carroll Parish, Louisiana",7096,19483,1972,27.79%,East Carroll Parish,Louisiana
"East Feliciana Parish, Louisiana",19371,23612,2779,14.35%,East Feliciana Parish,Louisiana
"Evangeline Parish, Louisiana",33589,18770,9111,27.12%,Evangeline Parish,Louisiana
"Franklin Parish, Louisiana",20238,19206,5511,27.23%,Franklin Parish,Louisiana
"Grant Parish, Louisiana",22340,18801,3595,16.09%,Grant Parish,Louisiana
"Iberia Parish, Louisiana",71887,23290,15669,21.8%,Iberia Parish,Louisiana
"Iberville Parish, Louisiana",32822,23751,5381,16.39%,Iberville Parish,Louisiana
"Jackson Parish, Louisiana",15879,21594,3333,20.99%,Jackson Parish,Louisiana
"Jefferson Parish, Louisiana",434850,30374,66701,15.34%,Jefferson Parish,Louisiana
"Jefferson Davis Parish, Louisiana",31441,25474,5897,18.76%,Jefferson Davis Parish,Louisiana
"Lafayette Parish, Louisiana",241973,31892,40979,16.94%,Lafayette Parish,Louisiana
"Lafourche Parish, Louisiana",98108,28683,14899,15.19%,Lafourche Parish,Louisiana
"LaSalle Parish, Louisiana",14936,21654,2704,18.1%,LaSalle Parish,Louisiana
"Lincoln Parish, Louisiana",47246,22863,13350,28.26%,Lincoln Parish,Louisiana
"Livingston Parish, Louisiana",138928,29354,17099,12.31%,Livingston Parish,Louisiana
"Madison Parish, Louisiana",11306,16671,3408,30.14%,Madison Parish,Louisiana
"Morehouse Parish, Louisiana",25610,18494,7013,27.38%,Morehouse Parish,Louisiana
"Natchitoches Parish, Louisiana",38769,19198,12235,31.56%,Natchitoches Parish,Louisiana
"Orleans Parish, Louisiana",390845,31385,89340,22.86%,Orleans Parish,Louisiana
"Ouachita Parish, Louisiana",155494,24361,36766,23.64%,Ouachita Parish,Louisiana
"Plaquemines Parish, Louisiana",23338,29258,4188,17.94%,Plaquemines Parish,Louisiana
"Pointe Coupee Parish, Louisiana",22016,28180,4538,20.61%,Pointe Coupee Parish,Louisiana
"Rapides Parish, Louisiana",130970,25984,24858,18.98%,Rapides Parish,Louisiana
"Red River Parish, Louisiana",8565,22924,2106,24.59%,Red River Parish,Louisiana
"Richland Parish, Louisiana",20350,20107,5926,29.12%,Richland Parish,Louisiana
"Sabine Parish, Louisiana",23991,22687,4384,18.27%,Sabine Parish,Louisiana
"St. Bernard Parish, Louisiana",46266,20763,9681,20.92%,St. Bernard Parish,Louisiana
"St. Charles Parish, Louisiana",52773,32935,5854,11.09%,St. Charles Parish,Louisiana
"St. Helena Parish, Louisiana",10297,24380,1861,18.07%,St. Helena Parish,Louisiana
"St. James Parish, Louisiana",21308,26739,3597,16.88%,St. James Parish,Louisiana
"St. John the Baptist Parish, Louisiana",43242,25968,7413,17.14%,St. John the Baptist Parish,Louisiana
"St. Landry Parish, Louisiana",83172,21162,21355,25.68%,St. Landry Parish,Louisiana
"St. Martin Parish, Louisiana",53732,24997,9986,18.58%,St. Martin Parish,Louisiana
"St. Mary Parish, Louisiana",50968,22839,9890,19.4%,St. Mary Parish,Louisiana
"St. Tammany Parish, Louisiana",255155,34658,28957,11.35%,St. Tammany Parish,Louisiana
"Tangipahoa Parish, Louisiana",132057,25163,27511,20.83%,Tangipahoa Parish,Louisiana
"Tensas Parish, Louisiana",4561,15912,1578,34.6%,Tensas Parish,Louisiana
"Terrebonne Parish, Louisiana",112054,25924,22720,20.28%,Terrebonne Parish,Louisiana
"Union Parish, Louisiana",22353,24030,3762,16.83%,Union Parish,Louisiana
"Vermilion Parish, Louisiana",59865,25342,10392,17.36%,Vermilion Parish,Louisiana
"Vernon Parish, Louisiana",49646,24554,8166,16.45%,Vernon Parish,Louisiana
"Washington Parish, Louisiana",46435,20177,10840,23.34%,Washington Parish,Louisiana
"Webster Parish, Louisiana",39242,18962,11416,29.09%,Webster Parish,Louisiana
"West Baton Rouge Parish, Louisiana",26101,29697,3141,12.03%,West Baton Rouge Parish,Louisiana
"West Carroll Parish, Louisiana",11041,22439,2324,21.05%,West Carroll Parish,Louisiana
"West Feliciana Parish, Louisiana",15428,26945,1447,9.38%,West Feliciana Parish,Louisiana
"Winn Parish, Louisiana",14313,22107,2318,16.2%,Winn Parish,Louisiana
"Androscoggin County, Maine",107602,28956,12283,11.42%,Androscoggin County,Maine
"Aroostook County, Maine",67809,25477,10549,15.56%,Aroostook County,Maine
"Cumberland County, Maine",292307,40527,25700,8.79%,Cumberland County,Maine
"Franklin County, Maine",29982,27252,3308,11.03%,Franklin County,Maine
"Hancock County, Maine",54601,34361,5748,10.53%,Hancock County,Maine
"Kennebec County, Maine",121753,30685,15117,12.42%,Kennebec County,Maine
"Knox County, Maine",39759,33126,3763,9.46%,Knox County,Maine
"Lincoln County, Maine",34201,33595,4140,12.1%,Lincoln County,Maine
"Oxford County, Maine",57550,25464,8592,14.93%,Oxford County,Maine
"Penobscot County, Maine",151774,28523,21501,14.17%,Penobscot County,Maine
"Piscataquis County, Maine",16836,24074,3040,18.06%,Piscataquis County,Maine
"Sagadahoc County, Maine",35452,34675,3388,9.56%,Sagadahoc County,Maine
"Somerset County, Maine",50520,24386,10114,20.02%,Somerset County,Maine
"Waldo County, Maine",39539,29674,5214,13.19%,Waldo County,Maine
"Washington County, Maine",31491,25157,5756,18.28%,Washington County,Maine
"York County, Maine",204316,36093,14918,7.3%,York County,Maine
"Allegany County, Maryland",71445,23607,10477,14.66%,Allegany County,Maryland
"Anne Arundel County, Maryland",571275,46629,32087,5.62%,Anne Arundel County,Maryland
"Baltimore County, Maryland",828018,40105,73061,8.82%,Baltimore County,Maryland
"Calvert County, Maryland",91511,45783,4183,4.57%,Calvert County,Maryland
"Caroline County, Maryland",33049,29624,4520,13.68%,Caroline County,Maryland
"Carroll County, Maryland",167699,42083,8546,5.1%,Carroll County,Maryland
"Cecil County, Maryland",102552,34810,9915,9.67%,Cecil County,Maryland
"Charles County, Maryland",159428,41717,9953,6.24%,Charles County,Maryland
"Dorchester County, Maryland",32138,30293,5007,15.58%,Dorchester County,Maryland
"Frederick County, Maryland",251422,43582,16865,6.71%,Frederick County,Maryland
"Garrett County, Maryland",29235,30617,2963,10.14%,Garrett County,Maryland
"Harford County, Maryland",252222,41147,17956,7.12%,Harford County,Maryland
"Howard County, Maryland",318855,54628,15805,4.96%,Howard County,Maryland
"Kent County, Maryland",19536,36813,2059,10.54%,Kent County,Maryland
"Montgomery County, Maryland",1043530,54510,70682,6.77%,Montgomery County,Maryland
"Prince George's County, Maryland",908670,37191,75341,8.29%,Prince George's County,Maryland
"Queen Anne's County, Maryland",49632,44754,2822,5.69%,Queen Anne's County,Maryland
"St. Mary's County, Maryland",112290,40354,8818,7.85%,St. Mary's County,Maryland
"Somerset County, Maryland",25729,18772,4244,16.5%,Somerset County,Maryland
"Talbot County, Maryland",37167,49136,3179,8.55%,Talbot County,Maryland
"Washington County, Maryland",150109,30464,17302,11.53%,Washington County,Maryland
"Wicomico County, Maryland",102539,28080,15164,14.79%,Wicomico County,Maryland
"Worcester County, Maryland",51765,38080,4606,8.9%,Worcester County,Maryland
"Baltimore city, Maryland",609032,31271,124436,20.43%,Baltimore city,Maryland
"Barnstable County, Massachusetts",213496,44505,13529,6.34%,Barnstable County,Massachusetts
"Berkshire County, Massachusetts",126425,35616,13063,10.33%,Berkshire County,Massachusetts
"Bristol County, Massachusetts",561037,35747,61875,11.03%,Bristol County,Massachusetts
"Dukes County, Massachusetts",17312,45990,1299,7.5%,Dukes County,Massachusetts
"Essex County, Massachusetts",783676,42347,79463,10.14%,Essex County,Massachusetts
"Franklin County, Massachusetts",70577,35908,6730,9.54%,Franklin County,Massachusetts
"Hampden County, Massachusetts",467871,30346,74362,15.89%,Hampden County,Massachusetts
"Hampshire County, Massachusetts",161032,34838,16800,10.43%,Hampshire County,Massachusetts
"Middlesex County, Massachusetts",1600842,52228,114942,7.18%,Middlesex County,Massachusetts
"Nantucket County, Massachusetts",11168,55398,960,8.6%,Nantucket County,Massachusetts
"Norfolk County, Massachusetts",700437,53889,43145,6.16%,Norfolk County,Massachusetts
"Plymouth County, Massachusetts",515303,43412,37248,7.23%,Plymouth County,Massachusetts
"Suffolk County, Massachusetts",796605,42765,136934,17.19%,Suffolk County,Massachusetts
"Worcester County, Massachusetts",824772,37574,80612,9.77%,Worcester County,Massachusetts
"Alcona County, Michigan",10353,25636,1738,16.79%,Alcona County,Michigan
"Alger County, Michigan",9151,20851,905,9.89%,Alger County,Michigan
"Allegan County, Michigan",116143,29215,11890,10.24%,Allegan County,Michigan
"Alpena County, Michigan",28520,25957,4002,14.03%,Alpena County,Michigan
"Antrim County, Michigan",23206,31851,2527,10.89%,Antrim County,Michigan
"Arenac County, Michigan",15070,24328,2547,16.9%,Arenac County,Michigan
"Baraga County, Michigan",8421,22920,1067,12.67%,Baraga County,Michigan
"Barry County, Michigan",60540,31760,4613,7.62%,Barry County,Michigan
"Bay County, Michigan",104104,27469,16266,15.62%,Bay County,Michigan
"Benzie County, Michigan",17615,29425,1650,9.37%,Benzie County,Michigan
"Berrien County, Michigan",154133,30864,24305,15.77%,Berrien County,Michigan
"Branch County, Michigan",43513,25279,6490,14.92%,Branch County,Michigan
"Calhoun County, Michigan",134212,26855,21423,15.96%,Calhoun County,Michigan
"Cass County, Michigan",51523,31295,6172,11.98%,Cass County,Michigan
"Charlevoix County, Michigan",26188,33620,2607,9.95%,Charlevoix County,Michigan
"Cheboygan County, Michigan",25418,26393,3732,14.68%,Cheboygan County,Michigan
"Chippewa County, Michigan",37629,25086,6257,16.63%,Chippewa County,Michigan
"Clare County, Michigan",30651,22573,6872,22.42%,Clare County,Michigan
"Clinton County, Michigan",78389,34761,6838,8.72%,Clinton County,Michigan
"Crawford County, Michigan",13892,26294,2218,15.97%,Crawford County,Michigan
"Delta County, Michigan",36026,27632,4588,12.74%,Delta County,Michigan
"Dickinson County, Michigan",25439,29656,2933,11.53%,Dickinson County,Michigan
"Eaton County, Michigan",109456,33427,10925,9.98%,Eaton County,Michigan
