Title,Other titles,ISBN,All names,Series title,Number within series,Country of publication,Place of publication,Publisher,Date of publication,Genre
Cradlegrave,2000 AD,9781907992469,"Smith, John, 1967- [person] ; Bagwell, Edmund [person]",,,England,Oxford,Rebellion,2011,Comic or graphic novel ; Fiction ; Horror
Cramond Island,Jean Baptiste Baigorri's Cramond Island,9781907704284,"Zeberio, Irkus M. [person]",,,England,London,Nobrow,2012,Comic or graphic novel ; Fiction ; Novel
Crank it up,,9781549304019,"Scott, Damion, artist [person] ; Casey, Joe, author [person]",Accell ; Catalyst Prime,3 [Catalyst Prime] ; number 14 [Accell],United States of America,St Louis,Lion,2018,Comic or graphic novel ; Fiction ; Science fiction
Crash test demons,,9781840231991,"Watson, Andi [person]",Buffy the vampire slayer,,England,London,Titan,2000,Comic or graphic novel ; Horror
Crater XV,Crater fifteen,9781603091008,"Cannon, Kevin, artist ; author [person]",,,United States of America,Atlanta,Top Shelf Productions,2013,Adventure ; Comic or graphic novel ; Novel
Crater fifteen,Crater XV,9781603091008,"Cannon, Kevin, artist ; author [person]",,,United States of America,Atlanta,Top Shelf Productions,2013,Adventure ; Comic or graphic novel ; Novel
Cravan,,9781593072919,"Richardson, Mike, 1950- [person] ; Geary, Rick [person]",,,United States of America,"Milwaukie, Oregon",Dark Horse,2005,Comic or graphic novel ; Fiction ; Novel
Crawl to me,,9781613773932,"Robert, Alan [person]",,,United States of America,"San Diego, California",,2012,Comic or graphic novel ; Horror
Crawling through the wreckage,,9781401212322 ; 9781845764463,"Major, Guy [person] ; Winick, Judd [person] ; Brosseau, Pat [person] ; McDaniel, Scott [person] ; Owens, Andy [person]",Green Arrow,,England ; United States of America,London ; New York,DC Comics ; Titan,2007,Comic or graphic novel ; Fiction ; Novel
Crazy,"1000 oceans ; Baker baker ; Beauty of speed ; Bouncing off clouds ; Caught a lite sneeze ; Comic book tattoo : narrative art inspired by the lyrics and music of Tori Amos ; Cornflake girl ; Crucify ; Devils and Gods ; Father Lucifer ; Flying Dutchman ; Girl ; Glory of the 80's ; God ; Gold dust ; Here, in my head ; Hey Jupiter ; Honey ; I can't see New York ; Jackie's strength ; Leather ; Lieee ; Little Amsterdam ; Little earthquakes ; Marianne ; Merman ; Mr. Zebra ; Northern lad ; Pandora's aquarium ; Past the mission ; Pirates ; Precious things ; Pretty good year ; Programmable soda ; Ribbons undone ; Roosterspur Bridge ; Scarlet's walk ; Silent all these years ; Siren ; Snow cherries from France ; Space dog ; Suede ; Sugar ; Sweet the sting ; Take to the sky ; Teenage hustling ; The beekeeper ; The waitress ; Toast ; Upside down ; Winter",9781582409641 ; 9781582409658 ; 9781582409665 ; 9781607060314,"Hoseley, Rantz [person] ; Amos, Tori [person]",,,United States of America,"Berkeley, California",Image Comics,2008,Comic or graphic novel
Cream loony minutes,,,,,,United Kingdom,,,,Comic or graphic novel
Creation,,9781840234206,"McFarlane, Todd [person]",Spawn,,England,London,Titan,2002,Comic or graphic novel ; Fiction ; Horror
Creature Commandos,,9781401243821,,,,United States of America,New York,DC Comics,2014,Comic or graphic novel ; Novel
Creature Tech,,9781607062820,"Staros, Chris [person] ; TenNapel, Doug [person]",,,United States of America,"Berkeley, California",Image Comics,2010,Comic or graphic novel ; Fiction ; Science fiction ; Young adult fiction
Creature features,Young Justice. Creature features,9781401238544,"Jones, Christopher, 1969-, artist [person] ; Vecchio, Luciano, artist [person] ; Weisman, Greg (Gregory David), 1963-, author [person] ; Hopps, Kevin, author [person]",,,United States of America,New York,DC Comics,2013,Comic or graphic novel ; Fiction
Creature of the night,,9781401280635,"Busiek, Kurt, author [person] ; Leon, John Paul, artist [person]",Batman,,United States of America,"Burbank, California",DC Comics,2018,Comic or graphic novel ; Fiction ; Science fiction
Creature tech,,9781534309180,"Garner, Katherine, colorist [person] ; Schulz, Dirk Erik [person] ; Potter, Joe [person] ; Kavalcova, Radka [person] ; Magnaye, Bryan Arfel [person] ; TenNapel, Doug, author ; illustrator [person]",,,United States of America,"Portland, Oregon",Image Comics,2018,Comic or graphic novel ; Novel ; Science fiction ; Young adult fiction
Creeps : a deep dark fears collection,,9780399579141,"Krause, Fran, author [person]",,,United States of America,New York,Clarkson Potter,2017,Comic or graphic novel
Creepshow,"2000 AD ; Caballistics, Inc. Creepshow",9781905437061,"Rennie, Gordon [person] ; Reardon, Dom [person]",,,England,Oxford,Rebellion,2007,Comic or graphic novel ; Fantasy ; Fiction
Creepy archives,Creepy,,"Gore, Shawna [person] ; Frazetta, Frank [person] ; Simon, Philip R. [person] ; Goodwin, Archie [person]",,,United States of America,"Milwaukie, Oregon",Dark Horse,2008-,Comic or graphic novel ; Horror
Creepy creatures : 3 ghoulish tales,Abominable snowman of Pasadena ; Scarecrow walks at midnight ; Werewolf of Fever Swamp,9781407102979,"Stine, R. L. [person]",Goosebumps graphix,,England,London,Scholastic,2007,Comic or graphic novel
Creepy creatures,Abominable snowman of Pasadena ; Scarecrow walks at midnight ; Werewolf of Fever Swamp,9780439841245 ; 9780439841252,"Ruth, Greg [person] ; Stine, R. L. [person] ; Hernandez, Gabriel (Hernandez Walta) [person] ; Morse, Scott [person]",Goosebumps,,England ; United States of America,London ; New York,Graphix,2006,Comic or graphic novel
Creepy,Creepy archives,,"Gore, Shawna [person] ; Frazetta, Frank [person] ; Simon, Philip R. [person] ; Goodwin, Archie [person]",,,United States of America,"Milwaukie, Oregon",Dark Horse,2008-,Comic or graphic novel ; Horror
Creswell,,9781904440918,Creswell [person],,,Scotland,Kinloss,Librario,2007,Comic or graphic novel ; Humour or satire
Cretaceous,,9781620105658,"Galusha, Tadd, artist ; author [person]",,,United States of America,Portland,Oni Press,2019,Comic or graphic novel ; Fiction ; Young adult fiction
Crew,A nation under our feet. volume 2. The crew,9781846537912,"Stelfreeze, Brian, artist [person] ; Coates, Ta-Nehisi, author [person]",Black Panther,,England,"Tunbridge Wells, Kent",Panini Publishing,2017,Comic or graphic novel ; Fiction ; Science fiction
Crime alley,"Careful with money ; Eyes open, mouth shut ; Gems #44. The kidnapping of Mr. Rich ; Gems #45. Haunted Rich castle ; Gloria's riddle ; His great grandfather's ghost ; Meet Penny van Dough ; Proper posture ; Richie Rich gems : treasures ; Robot gone wild ; The revolting butler ; Uncommon cents ; Welcome to Rich rescue",9781937676254,"Colón, Ernie [person] ; Jacobson, Sidney [person]",,,United States of America,"San Diego, California",Ape Entertainment,2012,Comic or graphic novel
Crime alleys,,9781616558260,"Cordurié, Sylvain, 1968-, author [person] ; Alessandro, Nespolino, artist [person]",Sherlock Holmes,,United States of America,Milwaukie,Dark Horse,2016,Children's fiction ; Comic or graphic novel ; Detective and mystery ; Fiction
Crime and funishment,,9781591825760,"Hillenburg, Stephen [person]",Spongebob Squarepants,,England ; United States of America,"London ; Los Angeles, California",Tokyopop,2004,Children's fiction ; Comic or graphic novel ; Novel
Crime and punisher,,9780785133933,"Guggenheim, Marc [person] ; Kitson, Barry [person] ; Kelly, Joe, 1971- [person] ; Bachalo, Chris [person]",Spider-man,,England ; United States of America,London ; New York,Diamond ; Marvel,2009,Comic or graphic novel ; Fiction
Crime and punishment,,9780785136712,"Millar, Mark [person]",Ultimate comics Avengers,,England ; United States of America,London ; New York,Marvel ; Turnaround,2011,Comic or graphic novel ; Fiction
Crime pays,Cat woman : crime pays ; Catwoman : crime pays,9781401219291 ; 9781845769727,"Pfeifer, Will [person] ; Lopez, David, 1975- [person]",Catwoman,,United Kingdom ; United States of America,New York,DC Comics ; Titan,2008,Comic or graphic novel ; Fiction ; Novel
Criminal macabre : no peace for dead men,,9781616551377,"Niles, Steve, author [person] ; Mitten, Christopher, artist [person]",,,United States of America,"Milwaukie, Oregon",Dark Horse,2013,Comic or graphic novel ; Fiction ; Horror
Criminal macabre omnibus : the Cal McDonald mysteries,,,"Templesmith, Ben, 1984- [person] ; Niles, Steve [person]",,,United States of America,"Milwaukie, Oregon",Dark Horse,2011-2012,Comic or graphic novel ; Fiction
Criminal macabre,,9781616550226,"Jones, Kelley, 1962-, artist [person] ; Jones, Casey, artist [person] ; Niles, Steve, author [person] ; Templesmith, Ben, 1984-, artist [person]",The Cal Mcdonald casebook,1 [The Cal Mcdonald casebook],United States of America,"Milwaukie, Oregon",Dark Horse,2013,Comic or graphic novel ; Fiction
Criminal,,9780785142294,"Brubaker, Ed [person] ; Staples, Val [person] ; Phillips, Sean [person]",,,United States of America,New York,Icon,2009,Comic or graphic novel ; Fiction
Crimson Empire saga,Star Wars. The Crimson Empire saga,9781595829474 ; 9781781164778,"Stradley, Randy, 1956- [person] ; Richardson, Mike, 1950- [person] ; Gulacy, Paul [person] ; Hansen, Michael D. [person]",,,United States of America,"Milwaukie, Oregon",Dark Horse,2012,Comic or graphic novel ; Fiction ; Science fiction
Crimson Shell,,9780759531154,"Eckerman, Alexis [person] ; Mochizuki, Jun [person]",,,United States of America,New York,,2009,Comic or graphic novel ; Fantasy ; Fiction ; Young adult fiction
Crimson mist,Bloodstorm ; Red rain ; Tales of the multiverse,9781845766450,"Moench, Doug, 1948- [person] ; Jones, Kelley, 1962- [person]",Batman,Vampire [Batman],England,London,Titan,2008,Comic or graphic novel ; Fiction
Crimson queen,V-wars. Volume 1. Crimson queen,9781631400636,"Maberry, Jonathan, author [person] ; Robinson, Alan, 1978-, illustrator [person]",,,United States of America,"San Diego, California",,2014,Comic or graphic novel ; Fiction ; Novel
Crimson snow,Ake nure goyō ni furu yuki wa. English,9781427830166,"Hori, Tomoki [person]",,,United States of America,"Los Angeles, California",,2011,Comic or graphic novel ; Erotic ; Novel ; Romance
Crisis aftermath : The spectre,Crisis aftermath. The spectre ; Infinite crisis aftermath. The spectre ; Tales of the unexpected,9781401213800 ; 9781845765774,"Lapham, David [person] ; Pfeifer, Will [person] ; Chiang, Cliff [person]",,,United Kingdom ; United States of America,New York,DC Comics ; Titan,2007,Comic or graphic novel ; Science fiction
Crisis city,,9781684056170,"Flynn, Ian, 1982-, author [person] ; Yardley, Tracy, artist [person]",Sonic the Hedgehog,5 [Sonic the Hedgehog],United States of America,San Diego,,2020,Children's fiction ; Comic or graphic novel
Crisis of conscience,JLA : crisis of conscience,9781401209636,"Johns, Geoff, 1973-, author [person] ; Batista, Chris, artist [person] ; Leigh, Rob [person] ; Lopez, Ken [person] ; Heinberg, Allan, author [person]",,,United States of America,New York,DC Comics,2006,Comic or graphic novel ; Fiction
Crisis of infinite Kryptos,,9781406279511,"Tanguay, Dave, artist [person] ; Ku, Min S., artist [person] ; Albrecht, Jeff, artist [person] ; McCann, Jesse Leon, author [person]",Krypto the Superdog,,England,London,Raintree,2014,Children's fiction ; Comic or graphic novel ; Science fiction
Crisis on alternative earth,,9781632294456,"Martin, Jason P., author [person] ; D'Andria, Nicole, editor [person] ; Costa, Marcelo, colorist, artist [person]",Vampblade,9 [Vampblade],United States of America,Ashland,Action Lab,2018,Comic or graphic novel ; Fiction ; Horror
Crisis on infinite earths deluxe edition,,9781401258412,"Costanza, John, illustrator [person] ; Ziuko, Tom, illustrator [person] ; Kesel, Karl, illustrator [person] ; Gafford, Carl, illustrator [person] ; Ross, Alex, 1970-, illustrator [person] ; Tollin, Anthony, illustrator [person] ; Ordway, Jerry, illustrator [person] ; McGraw, Tom, illustrator [person] ; Giordano, Dick, illustrator [person] ; Pérez, George, 1954-, illustrator [person] ; De Carlo, Mike, illustrator [person] ; Wolfman, Marv, author [person]",,,United States of America,"Burbank, California",DC Comics,2015,Comic or graphic novel ; Novel
Crisis on infinite earths,,9781840232677,"Wolfman, Marv [person] ; Pérez, George, 1954- [person]",,,England,London,Titan,2001,Comic or graphic novel ; Fiction ; Science fiction
Crisis on multiple earths,,9781563897504 ; 9781840235531,"Fox, Gardner F. (Gardner Francis), 1911-1986 [person] ; Sekowsky, Mike [person]",,,England ; United States of America,London ; New York,DC Comics ; Titan,2002,Comic or graphic novel ; Fiction
Crisis presents the xpresso special,The xpresso special,,,Crisis presents,number 2-no. 3 [Crisis presents],England,London,Fleetway Publications,1991-1991,Comic or graphic novel
Crisp biscuit,,,,,,England,London,Crisp Biscuit Productions,1991-,Comic or graphic novel
Critical condition,,9781840236187,"DeMatteis, J. M. [person]",Superman,,England ; United States of America,London ; New York,DC Comics ; Titan,2003,Comic or graphic novel ; Fiction ; Science fiction
Critical millennium : the dark frontier,,9781932386981,"Gaska, Andrew E. C. [person] ; Dussault, Daniel [person]",,,England ; United States of America,"Fort Lee, New Jersey ; London",Archaia ; Diamond,2010,Comic or graphic novel ; Fiction
Cromartie High School,,,"Nonaka, Eiji [person]",,,United States of America,"Houston, Texas",ADV Manga,2005-,Comic or graphic novel ; Fantasy ; Novel
Crooked little town,,9781840237368,"Rader, Brad [person] ; Brubaker, Ed [person]",Catwoman,,England,London,Titan,2002,Comic or graphic novel ; Fiction ; Science fiction
Crooked man and others,Hellboy. The crooked man and others,9781595824776,"Fegredo, Duncan [person] ; Robins, Clem, 1955- [person] ; Dysart, Josh [person] ; Corben, Richard [person] ; Mignola, Michael [person] ; Alexander, Jason Shawn [person] ; Allie, Scott [person] ; Stewart, Dave [person]",,,United States of America,"Milwaukie, Oregon",Dark Horse,2010,Comic or graphic novel
Crooked man,Hellboy. Volume 4. The Crooked Man : The troll witch ; Troll witch,9781595826589,"Mignola, Michael [person] ; Allie, Scott [person]",,,United States of America,"Milwaukie, Oregon",Dark Horse,2011,Comic or graphic novel ; Fiction
Croquis Pop,,,"Ko, Chin-ho [person] ; Seo, KwangHyun [person] ; Dela Cruz, Arthur [person]",,,United States of America,New York,,2008-2009,Comic or graphic novel ; Fiction ; Horror ; Young adult fiction
Croquis,,9781427817990,"Takanaga, Hinako [person]",,,Germany,Hamburg,Tokyopop,2010,Comic or graphic novel ; Novel
Cross time capers,,9781302909789,"Molina, Jorge, 1984-, artist [person] ; Bunn, Cullen, author [person]",X-men blue,3 [X-men blue],United States of America,New York,Marvel Worldwide,2018,Comic or graphic novel ; Fiction ; Science fiction
Cross world,Batman/Superman. Volume 1. Cross world,9781401245092 ; 9781401249342,"Diaz, Netho, artist [person] ; Pak, Greg, author [person] ; Lee, Jae, 1972-, artist [person] ; C̦inar, Yildiray, 1976-, artist [person] ; Oliver, Ben, artist [person] ; Siqueira, Paulo, 1982-, artist [person]",The new 52!,,United States of America,New York,DC Comics,2014,Comic or graphic novel ; Fiction ; Science fiction
Crossed badlands,Crossed. Volume 12,9781592912537,"Christensen, William, editor [person] ; Lapham, David, author [person] ; Manna, Francisco, artist [person]",,,United States of America,"Rantoul, Illinois",Avatar,2015,Comic or graphic novel ; Fiction ; Horror
Crossed,Crossed. Wish you were here. Volume 2 ; Wish you were here. Volume 2,9781592911882,"Ennis, Garth [person] ; Melek, Fernando, 1978-, artist [person] ; Spurrier, Simon, author [person]",,,United States of America,"Rantoul, Illinois",Avatar,2013,Comic or graphic novel ; Horror ; Novel
Crossfire and collateral,Bug brothers ; Bug brothers forever ; Insurgency ; Lies of our fathers ; The exterminators,,"Moore, Tony, 1978- [person] ; Oliver, Simon, 1969- [person]",,,England ; United States of America,London ; New York,DC Comics ; Titan,2006-2008,Comic or graphic novel ; Fiction ; Horror
Crosshair,39 Minutes ; 7 days from Hell ; Asset ; Forever ; Pilot season 2010,9781607062141,"Harms, William, 1969- [person] ; Lando, Jerry [person]",,,United States of America,Los Angeles,Top Cow Productions,2011,Comic or graphic novel
Crossing midnight,,,"Carey, Mike, 1959- [person] ; Fern, Jim [person]",,,United States of America,New York,DC Comics,2007-2008,Comic or graphic novel
Crossing paths,Chassé-Croisé. English,9781849182393,"Francq, Philippe, artist [person] ; Hamme, Jean van, 1939-, author [person] ; Saincantin, Jerome, translator [person]",Largo Winch,15 [Largo Winch],England,"Canterbury, Kent",Cinebook,2014,Comic or graphic novel ; Fiction ; Novel ; Suspense fiction
Crossing the borders,Chisenhale comics' Crossing the borders,,,,,England,London,Chisenhale Art Education Workshop & Joint Productions,1991-,Comic or graphic novel
Crossing the divide,Just in Casey ; Long goodbye ; Meeting of the minds ; Teenage Mutant Ninja Turtles Ghostbusters,9781631408731,"Smith, Cory, artist [person] ; Waltz, Tom, author [person] ; Wilson, Charles Paul, 1976-, artist [person] ; Schoening, Dan, artist [person] ; Burnham, Erik [person] ; Burnham, Erik, author [person]",,,United States of America,"San Diego, California",,2017,Comic or graphic novel
Crossover,Ultimate Fantastic Four (Comic strip) ; Ultimate Fantastic Four. Crossover ; Ultimate Fantastic Four. Vol 5. Crossover,9780785118022,"Macchio, Ralph, editor [person] ; Boose, Nicole, editor [person] ; Ponsor, Justin [person] ; Eliopoulos, Chris [person] ; Barber, John, 1976-, editor [person] ; Martin, Laura, artist [person] ; Land, Greg, artist [person] ; Ryan, Matt, artist [person] ; Millar, Mark, author [person]",,,United States of America,New York,Marvel Publishing,2006,Comic or graphic novel
Crossroad blues : a Nick Travers graphic novel,,9781534306486,"Finnegan, Marco, artist [person] ; Atkins, Ace, author [person] ; Peteri, Troy [person] ; Gardner, Keven, editor [person]",,,United States of America,Berkeley,Image Comics,2018,Comic or graphic novel ; Detective and mystery ; Fiction
Crossroads,,9780785184485,"Buscema, Sal, artist [person] ; Mantlo, Bill, author [person] ; Kupperberg, Alan, artist [person]",The Incredible Hulk,,United States of America,New York,Marvel,2013,Comic or graphic novel ; Fiction ; Science fiction
Crown and sword,,9781593078249,"Nelson, Arvid [person] ; Ferreyra, Juan [person]",Rex mundi,book 4 [Rex mundi],England ; United States of America,"London ; Milwaukie, Oregon",Dark Horse ; Diamond,2007,Alternative history ; Comic or graphic novel ; Fiction ; Novel
Crown of worms,,9781606902127,"Trautmann, Eric S. [person] ; Reis, Wagner [person] ; Neves, Fabiano [person] ; Geovani, Walter [person]",Vampirella,volume 1 [Vampirella],United States of America,"Runnemede, New Jersey",Dynamite Entertainment,2011,Comic or graphic novel ; Horror
Crown prince syndrome,Angel. The crown prince syndrome,9781600107894,"Casagrande, Elena [person] ; Willingham, Bill [person]",,,United States of America,"San Diego, California",,2010,Comic or graphic novel ; Fiction ; Horror
Crucible,Supergirl. Volume 6. Crucible,9781401255411,"Perkins, K., author [person] ; Sienty, Dezi [person] ; Moline, Karl, artist [person] ; Hi-Fi Colour Design [organisation] ; Bedard, Tony, author [person] ; Marzán, José, jr, artist [person] ; Leigh, Rob [person] ; Johnson, Mike, author [person] ; Lupacchino, Emanuela, artist [person] ; McCarthy, Ray, artist [person] ; Brown, Dan, colorist, artist [person] ; Meyers, Jonboy, artist [person]",The new 52!,,United States of America,"Burbank, California",DC Comics,2015,Comic or graphic novel
Crucify,"1000 oceans ; Baker baker ; Beauty of speed ; Bouncing off clouds ; Caught a lite sneeze ; Comic book tattoo : narrative art inspired by the lyrics and music of Tori Amos ; Cornflake girl ; Crazy ; Devils and Gods ; Father Lucifer ; Flying Dutchman ; Girl ; Glory of the 80's ; God ; Gold dust ; Here, in my head ; Hey Jupiter ; Honey ; I can't see New York ; Jackie's strength ; Leather ; Lieee ; Little Amsterdam ; Little earthquakes ; Marianne ; Merman ; Mr. Zebra ; Northern lad ; Pandora's aquarium ; Past the mission ; Pirates ; Precious things ; Pretty good year ; Programmable soda ; Ribbons undone ; Roosterspur Bridge ; Scarlet's walk ; Silent all these years ; Siren ; Snow cherries from France ; Space dog ; Suede ; Sugar ; Sweet the sting ; Take to the sky ; Teenage hustling ; The beekeeper ; The waitress ; Toast ; Upside down ; Winter",9781582409641 ; 9781582409658 ; 9781582409665 ; 9781607060314,"Hoseley, Rantz [person] ; Amos, Tori [person]",,,United States of America,"Berkeley, California",Image Comics,2008,Comic or graphic novel
Cruel and unusual,,9780785128892,"Lark, Michael [person] ; Perkins, Mike [person] ; Brubaker, Ed [person] ; Rucka, Greg [person]",Daredevil,,England ; United States of America,London ; New York,Diamond ; Marvel,2008,Comic or graphic novel ; Fiction
Cruelest Cut,Birds of Prey. Volume 4. The Cruelest Cut,9781401246358,"Marx, Christy [person] ; Glapion, Jonathan, illustrator [person] ; Molenaar, Romano, 1971-, illustrator [person] ; Cifuentes, Vicente, illustrator [person] ; Tynion, James, iv, author [person]",The New 52!,,United States of America,New York,DC Comics,2014,Comic or graphic novel ; Novel
Cruising through the Louvre,,9781561639908,"Prudhomme, David, 1969-, artist ; author [person]",The Louvre collection,,United States of America,New York,,2016,Comic or graphic novel ; Fiction ; Novel
Crush,,9780316363235 ; 9780316363242,"Chmakova, Svetlana, 1979-, artist ; author [person]",,,United States of America,New York,,2018,Comic or graphic novel ; Fiction ; Novel ; Young adult fiction
Crushing love,Ai no chikara de koi wo surunoda. English,9781569707746,"Natsumizu, Ritsu [person] ; Lee, Wendy, Production manager [person]",,,United States of America,Gardena,Digital Manga,2007,Comic or graphic novel ; Fiction ; Novel
Crux,Lucifer : Crux,9781401210052 ; 9781845762384,"Gross, Peter, 1958- [person] ; Carey, Mike, 1959- [person]",Vertigo,9 [Vertigo],United States of America,New York,DC Comics,2006,Comic or graphic novel ; Fantasy
Cry for blood,,9781840233957,"Rucka, Greg [person] ; Burchett, Rick [person]",Batman. Huntress,,England,London,Titan,2002,Comic or graphic novel ; Fiction ; Science fiction
Cry for justice,,9781848565562,"Cascioli, Mauro [person] ; Robinson, James, 1963- [person]",Justice league,,England,London,Titan,2010,Comic or graphic novel ; Fiction
Cry for thunder,,9781933076638,"Gentile, Joe [person] ; Bennett, Andy [person] ; Magno, Carlos, 1976- [person]",Sherlock Holmes & Kolchak The Night Stalker,,England ; United States of America,"Calumet City, Illinois ; London",Diamond ; Moonstone,2011,Comic or graphic novel ; Fiction
Cry fox,,9781785861727,"Cartmel, Andrew, author [person] ; Sullivan, Lee, 1958-, artist [person] ; Aaronovitch, Ben, 1964-, author [person]",Rivers of London,,England,London,Titan Comics,2018,Comic or graphic novel ; Detective and mystery ; Fiction ; Novel
Cry monster,,9781302913328,"Kirby, Jack, artist [person] ; Simonson, Walter, author [person] ; Fingeroth, Danny, author [person]",,,United States of America,New York,Marvel Worldwide,2018,Comic or graphic novel ; Fiction
Cry of the wolf,"All that glitters ; Avalon, web of magic. Omnibus 1 ; Circles in the stream",9781935934295,"Roberts, Rachel [person]",,,England ; United States of America,Godalming ; New York,Melia ; Seven Seas,2012,Children's fiction ; Comic or graphic novel
Cry of thunder,Sherlock Holmes & Kolchak The Night Stalker : cry of thunder,9781933076768,"Gentile, Joe [person] ; Bennett, Andy [person] ; Magno, Carlos, 1976- [person]",,,United States of America,"Calumet City, Illinois",Moonstone,2010,Comic or graphic novel ; Fiction
Cry wolf,,9780441018482,"Briggs, Patricia [person]",Alpha and Omega,book 1 [Alpha and Omega],England ; United States of America,London ; New York,Turnaround,2009,Comic or graphic novel ; Fiction
Cry yourself to sleep,,9781891830815,"Tinder, Jeremy [person]",,,England ; United States of America,"London ; Marietta, Georgia",Diamond ; Top Shelf,2005,Comic or graphic novel ; Fiction ; Novel
Crying Freeman,Kuraingu furīman. English,,"Ikegami, Ryōichi [person] ; Sivasubramanian, Kumar [person] ; Koike, Kazuo, 1936- [person]",,,United States of America,"Milwaukie, Oregon",Dark Horse Manga,2006-,Comic or graphic novel ; Fiction ; Novel
Cryptics,The cryptics,9781600102547,"Roman, Benjamin [person] ; Niles, Steve [person]",,,United States of America,"San Diego, California",,2008,Children's fiction ; Comic or graphic novel
Cryptozoo crew,,9781561634378,"Carr, Jerry [person] ; Gross, Allan [person]",,,England ; United States of America,London ; New York,Turnaround,2005,Comic or graphic novel ; Novel
Crystal shard,Exile ; Forgotten realms : the legend of Drizzt omnibus ; Halfling's gem ; Homeland ; Legend of Drizzt omnibus ; Sojourn ; Streams of silver,,"Salvatore, R. A., 1959- [person] ; Seeley, Tim [person] ; Dabb, Andrew [person]",Dungeons & dragons,,United States of America,"San Diego, California",,2011-,Comic or graphic novel
Cuba : my revolution,,9780857680280,"Lockpez, Inverna [person] ; Haspiel, Dean [person]",,,England,London,Titan,2010,Comic or graphic novel ; Fiction ; Novel
Cubicles that make you envy the dead,,9781449493783,"Adams, Scott, 1957-, artist ; author [person]",A Dilbert book,,United States of America,Kansas,Andrews McMeel Publishing,2018,Comic or graphic novel
Cubs in Toyland,Animal farm ; Arabian nights (and days) ; Dark ages ; Fables ; Good prince ; Great Fables crossover ; Homelands ; Inherit the wind ; Legends in exile ; March of the wooden soldiers ; Mean seasons ; Rose red ; Snow White ; Sons of empire ; Storybook love ; Super team ; War and pieces ; Witches ; Wolves,,"Medina, Lan [person] ; Willingham, Bill [person] ; Buckingham, Mark [person]",,,England ; United States of America,London ; New York,DC Comics ; Titan,2002-,Comic or graphic novel ; Fantasy
Cull,Lazarus. 5 ; Lazarus. Volume 5. Cull,9781534300248,"Rucka, Greg, author [person] ; Lark, Michael, artist [person]",,,United States of America,Portland,Image Comics,2017,Comic or graphic novel ; Dystopia ; Novel
Culling,Legion lost. Volume 2. The culling,9781401240257,"DeFalco, Tom, author [person] ; Woods, Pete, artist [person] ; Siegel, Jerry, 1914-1996 [person]",,,United States of America,New York,DC Comics,2013,Comic or graphic novel
Curbside boys,,9781573441544,"Kirby, Robert, 1962- [person]",,,England ; United States of America,"London ; San Francisco, California",Cleis ; Turnaround,2002,Comic or graphic novel ; Fiction ; Novel
Cure,Altered fates ; Blue hole ; Eastman and Laird's Tales of the Teenage Mutant Ninja Turtles. Volume 7 ; Ghost story ; Rippling ; Tales of the TMNT ; Tales of the Teenage Mutant Ninja Turtles. Volume 7 ; Trophy ; Wrong turn,9781631403637,"Allan, Chris, artist ; illustrator [person] ; May, Ross [person] ; Black, Jake [person] ; Talbot, Eric, artist [person] ; Murphy, Steve, writer [person] ; Lawson, Jim, 1960- [person]",,,United States of America,"San Diego, California",,2015,Comic or graphic novel ; Fiction
Curious cases of Sherlock Holmes : the great detective in some of his strangest cases,,9781613771037,"Reed, Gary, 1956-2016 [person] ; Makinen, Seppo, artist [person] ; Jones, Steven Philip, 1960- [person]",,,United States of America,"San Diego, California",,2011,Comic or graphic novel ; Fiction ; Historical fiction ; Mystery ; Novel
Curly Kayoe,,,,,,England,London,L. Miller,1958-1958,Comic or graphic novel
Curse bells,Baltimore. Volume two. The curse bells,9781595826749,"Robins, Clem, 1955- [person] ; Mignola, Michael [person] ; Stenbeck, Ben [person] ; Golden, Christopher [person] ; Stewart, Dave [person]",,,United States of America,"Milwaukie, Oregon",Dark Horse,2012,Comic or graphic novel ; Fiction
Curse killing arc,Higurashi when they cry. Curse killing arc,,"Suzuki, Jiro [person] ; Ryūkishi07 [person]",Higurashi series,5-6 [Higurashi series],United States of America,New York,,2009-2010,Comic or graphic novel ; Detective and mystery ; Fiction
Curse of tha atomic katana,Fu Jitsu. Volume 1. The curse of tha atomic katana,9781935002543,"Marts, Michael, editor [person] ; St. Claire, Wes, artist [person] ; Nitz, Jai, author [person]",,,United States of America,Dallas,Aftershock,2017,Comic or graphic novel ; Science fiction
Curse of the Ramsbottoms,"The lost slipper : and, The curse of the Ramsbottoms",9780340696569,"Davies, Tristan [person] ; Newman, Nick [person]",Wallace & Gromit,,England,London,Hodder & Stoughton,1998,Children's fiction ; Comic or graphic novel ; Novel
Curse of the Wendigo,"Corpus hermeticum, curse of the Wendigo ; Souffle du Wendigo. English",9781606902387,"Missoffe, Mathieu [person] ; Adlard, Charles, 1966- [person]",,,United States of America,"Runnemede, New Jersey",Dynamite Entertainment,2011,Comic or graphic novel ; Fiction ; Novel
Curse of the White Knight,,9781779504487,"Murphy, Sean Gordon, 1980-, artist ; author [person] ; Hollingsworth, Matt [person] ; Janson, Klaus, artist [person]",Batman,,United States of America,New York,DC Black Label,2020,Comic or graphic novel ; Fiction ; Science fiction
