"Part","Type","Type","Brand","牌子","Model","Other Information","其他資料","Place of Manufacture","製造地點","Applicant","申請人","Telephone Number","Approval Expiry Date"
"Part 5 – Approved Domestic Gas Appliances which have not been revalidated for renewal of approval, after the expiry of 5-year approval period","Built-in Hotplate 1 Burner","嵌入式單頭平面爐","Pacific","太平洋","PGS-100","GLASS TOP PANEL","玻璃面版","The People's Republic of China","中華人民共和國","Dong Woo Industrial Co. Ltd.","東宇實業有限公司","2604 9777","2016-12-21"
"Part 5 – Approved Domestic Gas Appliances which have not been revalidated for renewal of approval, after the expiry of 5-year approval period","Built-in Hotplate 1 Burner","嵌入式單頭平面爐","Rasonic","樂信","RG-D1GG","GLASS TOP PANEL","玻璃面版","The People's Republic of China","中華人民共和國","Energy Trading Company Limited","安力貿易有限公司","2262 4138","2011-09-04"
"Part 5 – Approved Domestic Gas Appliances which have not been revalidated for renewal of approval, after the expiry of 5-year approval period","Built-in Hotplate 1 Burner","嵌入式單頭平面爐","Rasonic","樂信","RG-D1SG","STAINLESS STEEL TOP PANEL","不銹鋼面版","The People's Republic of China","中華人民共和國","Energy Trading Company Limited","安力貿易有限公司","2262 4138","2011-09-04"
"Part 5 – Approved Domestic Gas Appliances which have not been revalidated for renewal of approval, after the expiry of 5-year approval period","Built-in Hotplate 1 Burner","嵌入式單頭平面爐","Siemens","西門子","ER326AB90L","GLASS TOP PANEL","玻璃面版","Spain","西班牙","BSH Home Appliances Ltd.","博西華家用電器有限公司","2565 6161","2014-05-26"
"Part 5 – Approved Domestic Gas Appliances which have not been revalidated for renewal of approval, after the expiry of 5-year approval period","Built-in Hotplate 1 Burner","嵌入式單頭平面爐","Siemens","西門子","ER326AB70L","GLASS TOP PANEL","玻璃面版","Spain","西班牙","BSH Home Appliances Ltd.","博西華家用電器有限公司","2565 6161","2018-06-02"
"Part 5 – Approved Domestic Gas Appliances which have not been revalidated for renewal of approval, after the expiry of 5-year approval period","Built-in Hotplate 1 Burner","嵌入式單頭平面爐","Siemens","西門子","ER511502P","GLASS TOP PANEL","玻璃面版","Spain","西班牙","BSH Home Appliances Ltd.","博西華家用電器有限公司","2565 6161","2009-12-21"
"Part 5 – Approved Domestic Gas Appliances which have not been revalidated for renewal of approval, after the expiry of 5-year approval period","Built-in Hotplate 1 Burner","嵌入式單頭平面爐","Smeg","新美家","PGF31GBE","STAINLESS STEEL TOP PANEL","不銹鋼面版","Italy","意大利","Great Treasure International Ltd.","長富國際有限公司","2721 7449","2016-07-20"
"Part 5 – Approved Domestic Gas Appliances which have not been revalidated for renewal of approval, after the expiry of 5-year approval period","Built-in Hotplate 1 Burner","嵌入式單頭平面爐","Smeg","新美家","SRV531X","STAINLESS STEEL TOP PANEL","不銹鋼面版","Italy","意大利","Great Treasure International Ltd.","長富國際有限公司","2721 7449","2011-04-12"
"Part 5 – Approved Domestic Gas Appliances which have not been revalidated for renewal of approval, after the expiry of 5-year approval period","Built-in Hotplate 1 Burner","嵌入式單頭平面爐","V-ZUG","","GK11TG","CERAMIC GLASS TOP PANEL","陶瓷玻璃面版","Spain","西班牙","Vocci Group Limited","宇升集團有限公司","2508 1202","2015-08-05"
"Part 5 – Approved Domestic Gas Appliances which have not been revalidated for renewal of approval, after the expiry of 5-year approval period","Built-in Hotplate 1 Burner","嵌入式單頭平面爐","Whirlpool","惠而浦","AVD110","GLASS TOP PANEL, DC POWERED TOP PANEL","玻璃, 直流電面版","The People's Republic of China","中華人民共和國","Whirlpool (Hong Kong) Ltd.","惠而浦（香港）有限公司","2406 9138","2016-05-05"
"Part 5 – Approved Domestic Gas Appliances which have not been revalidated for renewal of approval, after the expiry of 5-year approval period","Built-in Hotplate 1 Burner","嵌入式單頭平面爐","Whirlpool","惠而浦","AVK130","CERAMIC GLASS TOP PANEL","陶瓷玻璃面版","The People's Republic of China","中華人民共和國","Whirlpool (Hong Kong) Ltd.","惠而浦（香港）有限公司","2406 9138","2021-03-22"
"Part 5 – Approved Domestic Gas Appliances which have not been revalidated for renewal of approval, after the expiry of 5-year approval period","Built-in Hotplate 1 Burner with 2 Electric Hotplates","嵌入式單頭平面爐連雙電爐","Cristal","尼斯","V8612FCV","GLASS TOP PANEL","玻璃面版","Italy","意大利","Great Treasure International Ltd.","長富國際有限公司","2721 7449","2007-12-16"
"Part 5 – Approved Domestic Gas Appliances which have not been revalidated for renewal of approval, after the expiry of 5-year approval period","Built-in Hotplate 2 Burners","嵌入式雙頭平面爐","AEG","","35528GB","CERAMIC GLASS TOP PANEL","陶瓷玻璃面版","Italy","意大利","Dah Chong Hong, Ltd.","大昌貿易行有限公司","2262 1690","2019-03-03"
"Part 5 – Approved Domestic Gas Appliances which have not been revalidated for renewal of approval, after the expiry of 5-year approval period","Built-in Hotplate 2 Burners","嵌入式雙頭平面爐","AEG","","FM 4300 G-AN","GLASS TOP PANEL","玻璃面版","Switzerland","瑞士","Dah Chong Hong, Ltd.","大昌貿易行有限公司","2262 1690","2012-05-29"
"Part 5 – Approved Domestic Gas Appliances which have not been revalidated for renewal of approval, after the expiry of 5-year approval period","Built-in Hotplate 2 Burners","嵌入式雙頭平面爐","Athens","金雅典","AG-218","GLASS TOP PANEL","玻璃面版","Taiwan, China","中國台灣","Wing Hing Electrical Engineers Co., Ltd.","榮興電機貿易工程公司","2413 3718","2008-06-11"
"Part 5 – Approved Domestic Gas Appliances which have not been revalidated for renewal of approval, after the expiry of 5-year approval period","Built-in Hotplate 2 Burners","嵌入式雙頭平面爐","Barusco","伯樂","BS-2880L","GLASS TOP PANEL","玻璃面版","The People's Republic of China","中華人民共和國","Nasim Engineering Trading Co.","立信工程貿易公司","2961 4511","2015-06-16"
"Part 5 – Approved Domestic Gas Appliances which have not been revalidated for renewal of approval, after the expiry of 5-year approval period","Built-in Hotplate 2 Burners","嵌入式雙頭平面爐","Bauknecht","","TGZ 6260/IN","GLASS TOP PANEL","玻璃面版","Italy","意大利","Whirlpool (Hong Kong) Ltd.","惠而浦（香港）有限公司","2406 9138","2017-05-09"
"Part 5 – Approved Domestic Gas Appliances which have not been revalidated for renewal of approval, after the expiry of 5-year approval period","Built-in Hotplate 2 Burners","嵌入式雙頭平面爐","Bauknecht","","TGC6290","CERAMIC GLASS TOP PANEL","陶瓷玻璃面版","The People's Republic of China","中華人民共和國","Whirlpool (Hong Kong) Ltd.","惠而浦（香港）有限公司","2406 9138","2021-03-22"
"Part 5 – Approved Domestic Gas Appliances which have not been revalidated for renewal of approval, after the expiry of 5-year approval period","Built-in Hotplate 2 Burners","嵌入式雙頭平面爐","Baumatic","龐馬狄克","PG2.1SS-HK","STAINLESS STEEL TOP PANEL","不銹鋼面版","The People's Republic of China","中華人民共和國","Baumatic Asia Limited","Baumatic Asia Limited","2834 2380","2017-03-13"
"Part 5 – Approved Domestic Gas Appliances which have not been revalidated for renewal of approval, after the expiry of 5-year approval period","Built-in Hotplate 2 Burners","嵌入式雙頭平面爐","Baumatic","龐馬狄克","PG2SSHK","STAINLESS STEEL TOP PANEL","不銹鋼面版","Italy","意大利","Baumatic Asia Limited","Baumatic Asia Limited","2834 2380","2017-02-15"
"Part 5 – Approved Domestic Gas Appliances which have not been revalidated for renewal of approval, after the expiry of 5-year approval period","Built-in Hotplate 2 Burners","嵌入式雙頭平面爐","Baumatic","龐馬狄克","BG2.7BL","GLASS TOP PANEL, DC POWERED TOP PANEL","玻璃, 直流電面版","The People's Republic of China","中華人民共和國","Baumatic Asia Limited","Baumatic Asia Limited","2834 2380","2016-05-11"
"Part 5 – Approved Domestic Gas Appliances which have not been revalidated for renewal of approval, after the expiry of 5-year approval period","Built-in Hotplate 2 Burners","嵌入式雙頭平面爐","Baumatic","龐馬狄克","BG2.1BL-HK","GLASS TOP PANEL","玻璃面版","The People's Republic of China","中華人民共和國","Baumatic Asia Limited","Baumatic Asia Limited","2834 2380","2018-08-20"
"Part 5 – Approved Domestic Gas Appliances which have not been revalidated for renewal of approval, after the expiry of 5-year approval period","Built-in Hotplate 2 Burners","嵌入式雙頭平面爐","Baumatic","龐馬狄克","HPE02.1SS-LG","STAINLESS STEEL TOP PANEL","不銹鋼面版","The People's Republic of China","中華人民共和國","Baumatic Asia Limited","Baumatic Asia Limited","2834 2380","2011-08-30"
"Part 5 – Approved Domestic Gas Appliances which have not been revalidated for renewal of approval, after the expiry of 5-year approval period","Built-in Hotplate 2 Burners","嵌入式雙頭平面爐","Baumatic","龐馬狄克","PG2SS","STAINLESS STEEL TOP PANEL","不銹鋼面版","Italy","意大利","Baumatic Asia Limited","Baumatic Asia Limited","2834 2380","2011-10-17"
"Part 5 – Approved Domestic Gas Appliances which have not been revalidated for renewal of approval, after the expiry of 5-year approval period","Built-in Hotplate 2 Burners","嵌入式雙頭平面爐","Bertazzoni","","P7C01CONX","GLASS TOP PANEL","玻璃面版","Italy","意大利","Kelvin Electric Trading Co. Ltd.","嘉榮電器貿易有限公司","2421 1200","2020-03-22"
"Part 5 – Approved Domestic Gas Appliances which have not been revalidated for renewal of approval, after the expiry of 5-year approval period","Built-in Hotplate 2 Burners","嵌入式雙頭平面爐","Campus","","CLPG-200","GLASS TOP PANEL","玻璃面版","The People's Republic of China","中華人民共和國","Dah Chong Hong, Ltd.","大昌貿易行有限公司","2262 1690","2022-01-25"
"Part 5 – Approved Domestic Gas Appliances which have not been revalidated for renewal of approval, after the expiry of 5-year approval period","Built-in Hotplate 2 Burners","嵌入式雙頭平面爐","CGS","","CB-2801","GLASS TOP PANEL","玻璃面版","The People's Republic of China","中華人民共和國","Crown Gas Stoves (Holdings) Company Limited","皇冠爐具（集團）有限公司","2382 8431","2019-08-11"
"Part 5 – Approved Domestic Gas Appliances which have not been revalidated for renewal of approval, after the expiry of 5-year approval period","Built-in Hotplate 2 Burners","嵌入式雙頭平面爐","Cimatech","高德","CG288/LP","GLASS TOP PANEL","玻璃面版","Taiwan, China","中國台灣","Toptech Co. Limited","高端有限公司","2828 4426","2010-12-08"
"Part 5 – Approved Domestic Gas Appliances which have not been revalidated for renewal of approval, after the expiry of 5-year approval period","Built-in Hotplate 2 Burners","嵌入式雙頭平面爐","Cimatech","高德","CG750A2","GLASS TOP PANEL","玻璃面版","The People's Republic of China","中華人民共和國","Toptech Co. Limited","高端有限公司","2828 4426","2013-12-30"
"Part 5 – Approved Domestic Gas Appliances which have not been revalidated for renewal of approval, after the expiry of 5-year approval period","Built-in Hotplate 2 Burners","嵌入式雙頭平面爐","Cristal","尼斯","G7206ABT","GLASS TOP PANEL","玻璃面版","The People's Republic of China","中華人民共和國","Great Treasure International Ltd.","長富國際有限公司","2721 7449","2013-08-31"
"Part 5 – Approved Domestic Gas Appliances which have not been revalidated for renewal of approval, after the expiry of 5-year approval period","Built-in Hotplate 2 Burners","嵌入式雙頭平面爐","Cristal","尼斯","C512VDSL10","GLASS TOP PANEL","玻璃面版","Italy","意大利","Great Treasure International Ltd.","長富國際有限公司","2721 7449","2011-03-02"
"Part 5 – Approved Domestic Gas Appliances which have not been revalidated for renewal of approval, after the expiry of 5-year approval period","Built-in Hotplate 2 Burners","嵌入式雙頭平面爐","Cristal","尼斯","G7206ABT-1","GLASS TOP PANEL","玻璃面版","The People's Republic of China","中華人民共和國","Great Treasure International Ltd.","長富國際有限公司","2721 7449","2018-05-23"
"Part 5 – Approved Domestic Gas Appliances which have not been revalidated for renewal of approval, after the expiry of 5-year approval period","Built-in Hotplate 2 Burners","嵌入式雙頭平面爐","Cristal","尼斯","C752VDSC","GLASS TOP PANEL","玻璃面版","Italy","意大利","Great Treasure International Ltd.","長富國際有限公司","2721 7449","2009-08-15"
"Part 5 – Approved Domestic Gas Appliances which have not been revalidated for renewal of approval, after the expiry of 5-year approval period","Built-in Hotplate 2 Burners","嵌入式雙頭平面爐","Crown","皇冠牌","BI-727GB","GLASS TOP PANEL","玻璃面版","Taiwan, China","中國台灣","Crown Gas Stoves (Holdings) Company Limited","皇冠爐具（集團）有限公司","2382 8431","2020-08-20"
"Part 5 – Approved Domestic Gas Appliances which have not been revalidated for renewal of approval, after the expiry of 5-year approval period","Built-in Hotplate 2 Burners","嵌入式雙頭平面爐","Crown","皇冠牌","BI-750GB","GLASS TOP PANEL","玻璃面版","The People's Republic of China","中華人民共和國","Crown Gas Stoves (Holdings) Company Limited","皇冠爐具（集團）有限公司","2382 8431","2013-08-20"
"Part 5 – Approved Domestic Gas Appliances which have not been revalidated for renewal of approval, after the expiry of 5-year approval period","Built-in Hotplate 2 Burners","嵌入式雙頭平面爐","Crown","皇冠牌","BI-750GW","GLASS TOP PANEL","玻璃面版","The People's Republic of China","中華人民共和國","Crown Gas Stoves Co., Ltd.","皇冠爐具有限公司","2541 2971","2010-04-05"
"Part 5 – Approved Domestic Gas Appliances which have not been revalidated for renewal of approval, after the expiry of 5-year approval period","Built-in Hotplate 2 Burners","嵌入式雙頭平面爐","Crown","皇冠牌","RC-282","ENAMEL TOP PANEL","搪瓷面版","Japan","日本","Crown Gas Stoves Co., Ltd.","皇冠爐具有限公司","2541 2971","2005-04-13"
"Part 5 – Approved Domestic Gas Appliances which have not been revalidated for renewal of approval, after the expiry of 5-year approval period","Built-in Hotplate 2 Burners","嵌入式雙頭平面爐","Deutschooner","朗高","GH-2020S","GLASS TOP PANEL","玻璃面版","The People's Republic of China","中華人民共和國","Sunrise Enterprise HK Limited","朗昇企業香港有限公司","2690 0968","2010-08-03"
"Part 5 – Approved Domestic Gas Appliances which have not been revalidated for renewal of approval, after the expiry of 5-year approval period","Built-in Hotplate 2 Burners","嵌入式雙頭平面爐","Deutschooner","朗高","GH-2000S","GLASS TOP PANEL","玻璃面版","The People's Republic of China","中華人民共和國","Sunrise Enterprise HK Limited","朗昇企業香港有限公司","2690 0968","2017-08-01"
"Part 5 – Approved Domestic Gas Appliances which have not been revalidated for renewal of approval, after the expiry of 5-year approval period","Built-in Hotplate 2 Burners","嵌入式雙頭平面爐","Deutschooner","朗高","GH-268G","STAINLESS STEEL TOP PANEL","不銹鋼面版","The People's Republic of China","中華人民共和國","Sunrise Enterprise HK Limited","朗昇企業香港有限公司","2690 0968","2010-08-03"
"Part 5 – Approved Domestic Gas Appliances which have not been revalidated for renewal of approval, after the expiry of 5-year approval period","Built-in Hotplate 2 Burners","嵌入式雙頭平面爐","Electrolux","伊萊克斯","EGC3320NOK","GLASS TOP PANEL","玻璃面版","Italy","意大利","Dah Chong Hong, Ltd.","大昌貿易行有限公司","2262 1690","2018-09-10"
"Part 5 – Approved Domestic Gas Appliances which have not been revalidated for renewal of approval, after the expiry of 5-year approval period","Built-in Hotplate 2 Burners","嵌入式雙頭平面爐","Franke","弗蘭卡","FH27B4 752 G","GLASS TOP PANEL","玻璃面版","The People's Republic of China","中華人民共和國","Alliance Ascent Holdings Limited","協昇集團有限公司","2372 9022","2017-07-23"
"Part 5 – Approved Domestic Gas Appliances which have not been revalidated for renewal of approval, after the expiry of 5-year approval period","Built-in Hotplate 2 Burners","嵌入式雙頭平面爐","Franke","弗蘭卡","FH32A1 752 XS","STAINLESS STEEL TOP PANEL","不銹鋼面版","The People's Republic of China","中華人民共和國","Alliance Ascent Holdings Limited","協昇集團有限公司","2372 9022","2017-07-23"
"Part 5 – Approved Domestic Gas Appliances which have not been revalidated for renewal of approval, after the expiry of 5-year approval period","Built-in Hotplate 2 Burners","嵌入式雙頭平面爐","Gaggenau","","VG232134F","STAINLESS STEEL TOP PANEL","不銹鋼面版","France","法國","Kitchen Infinity Corp. Ltd.","Kitchen Infinity Corp. Ltd.","2552 2208","2018-01-28"
"Part 5 – Approved Domestic Gas Appliances which have not been revalidated for renewal of approval, after the expiry of 5-year approval period","Built-in Hotplate 2 Burners","嵌入式雙頭平面爐","Gaggenau","","VG232-132F","STAINLESS STEEL TOP PANEL","不銹鋼面版","France","法國","Kitchen Infinity Corp. Ltd.","Kitchen Infinity Corp. Ltd.","2552 2208","2013-12-02"
"Part 5 – Approved Domestic Gas Appliances which have not been revalidated for renewal of approval, after the expiry of 5-year approval period","Built-in Hotplate 2 Burners","嵌入式雙頭平面爐","Garwoods","樂思","GS-208","GLASS TOP PANEL","玻璃面版","Malaysia","馬來西亞","Famous International (H.K.) Ltd.","明輝國際（香港）有限公司","2139 2239","2007-12-19"
"Part 5 – Approved Domestic Gas Appliances which have not been revalidated for renewal of approval, after the expiry of 5-year approval period","Built-in Hotplate 2 Burners","嵌入式雙頭平面爐","Garwoods","樂思","GC-218","GLASS TOP PANEL","玻璃面版","The People's Republic of China","中華人民共和國","Araytron Technology Limited","千中科技有限公司","2397 3066","2013-08-20"
"Part 5 – Approved Domestic Gas Appliances which have not been revalidated for renewal of approval, after the expiry of 5-year approval period","Built-in Hotplate 2 Burners","嵌入式雙頭平面爐","Gastar","星牌","GH2001(GP)","GLASS TOP PANEL","玻璃面版","The People's Republic of China","中華人民共和國","Gastar Group Company Limited","星牌集團有限公司","2394 6060","2016-10-16"
"Part 5 – Approved Domestic Gas Appliances which have not been revalidated for renewal of approval, after the expiry of 5-year approval period","Built-in Hotplate 2 Burners","嵌入式雙頭平面爐","Gastar","星牌","GH-747SB(GP)","GLASS TOP PANEL","玻璃面版","The People's Republic of China","中華人民共和國","Chuen Kwong Hong Ltd","全光行有限公司","2394 6060","2010-03-11"
"Part 5 – Approved Domestic Gas Appliances which have not been revalidated for renewal of approval, after the expiry of 5-year approval period","Built-in Hotplate 2 Burners","嵌入式雙頭平面爐","Gastar","星牌","GH-1500S(GP)","GLASS TOP PANEL","玻璃面版","The People's Republic of China","中華人民共和國","Chuen Kwong Hong Ltd","全光行有限公司","2394 6060","2009-05-18"
"Part 5 – Approved Domestic Gas Appliances which have not been revalidated for renewal of approval, after the expiry of 5-year approval period","Built-in Hotplate 2 Burners","嵌入式雙頭平面爐","Gastar","星牌","GH-2000SB(GP)","GLASS TOP PANEL","玻璃面版","The People's Republic of China","中華人民共和國","Chuen Kwong Hong Ltd","全光行有限公司","2394 6060","2010-02-13"
"Part 5 – Approved Domestic Gas Appliances which have not been revalidated for renewal of approval, after the expiry of 5-year approval period","Built-in Hotplate 2 Burners","嵌入式雙頭平面爐","General Gas","將軍","2S-V(200)","STAINLESS STEEL TOP PANEL","不銹鋼面版","Italy","意大利","Hong Kong L.P. Gas (Holdings) Ltd.","香港液體氣（集團）有限公司","2300 1210","2005-05-02"
"Part 5 – Approved Domestic Gas Appliances which have not been revalidated for renewal of approval, after the expiry of 5-year approval period","Built-in Hotplate 2 Burners","嵌入式雙頭平面爐","General Gas","將軍","2S-V(000)","ENAMEL TOP PANEL","搪瓷面版","Italy","意大利","Hong Kong L.P. Gas (Holdings) Ltd.","香港液體氣（集團）有限公司","2300 1210","2005-05-02"
"Part 5 – Approved Domestic Gas Appliances which have not been revalidated for renewal of approval, after the expiry of 5-year approval period","Built-in Hotplate 2 Burners","嵌入式雙頭平面爐","General Gas","將軍","2R-V(000)","ENAMEL TOP PANEL","搪瓷面版","Italy","意大利","Hong Kong L.P. Gas (Holdings) Ltd.","香港液體氣（集團）有限公司","2300 1210","2005-05-02"
"Part 5 – Approved Domestic Gas Appliances which have not been revalidated for renewal of approval, after the expiry of 5-year approval period","Built-in Hotplate 2 Burners","嵌入式雙頭平面爐","General Gas","將軍","2R-V(200)","STAINLESS STEEL TOP PANEL","不銹鋼面版","Italy","意大利","Hong Kong L.P. Gas (Holdings) Ltd.","香港液體氣（集團）有限公司","2300 1210","2005-05-02"
"Part 5 – Approved Domestic Gas Appliances which have not been revalidated for renewal of approval, after the expiry of 5-year approval period","Built-in Hotplate 2 Burners","嵌入式雙頭平面爐","General Gas","將軍","GL-2S-WP","GLASS TOP PANEL","玻璃面版","Italy","意大利","Hong Kong L.P. Gas (Holdings) Ltd.","香港液體氣（集團）有限公司","2300 1210","2007-08-25"
"Part 5 – Approved Domestic Gas Appliances which have not been revalidated for renewal of approval, after the expiry of 5-year approval period","Built-in Hotplate 2 Burners","嵌入式雙頭平面爐","General Gas","將軍","GL-2S-BP","GLASS TOP PANEL","玻璃面版","Italy","意大利","Hong Kong L.P. Gas (Holdings) Ltd.","香港液體氣（集團）有限公司","2300 1210","2007-08-25"
"Part 5 – Approved Domestic Gas Appliances which have not been revalidated for renewal of approval, after the expiry of 5-year approval period","Built-in Hotplate 2 Burners","嵌入式雙頭平面爐","General Gas","將軍","GL-2S-LP","GLASS TOP PANEL","玻璃面版","Italy","意大利","Hong Kong L.P. Gas (Holdings) Ltd.","香港液體氣（集團）有限公司","2300 1210","2007-08-25"
"Part 5 – Approved Domestic Gas Appliances which have not been revalidated for renewal of approval, after the expiry of 5-year approval period","Built-in Hotplate 2 Burners","嵌入式雙頭平面爐","GERMAN POOL","德國寶","GP30-2-LG","GLASS TOP PANEL","玻璃面版","The People's Republic of China","中華人民共和國","German Pool (Hong Kong) Ltd.","德國寶（香港）有限公司","2773 2812","2016-12-13"
"Part 5 – Approved Domestic Gas Appliances which have not been revalidated for renewal of approval, after the expiry of 5-year approval period","Built-in Hotplate 2 Burners","嵌入式雙頭平面爐","GERMAN POOL","德國寶","GP11-2-LG","GLASS TOP PANEL","玻璃面版","The People's Republic of China","中華人民共和國","German Pool (Hong Kong) Ltd.","德國寶（香港）有限公司","2773 2812","2020-01-06"
"Part 5 – Approved Domestic Gas Appliances which have not been revalidated for renewal of approval, after the expiry of 5-year approval period","Built-in Hotplate 2 Burners","嵌入式雙頭平面爐","GERMAN POOL","德國寶","GP11-2M-LG","GLASS TOP PANEL","玻璃面版","The People's Republic of China","中華人民共和國","German Pool (Hong Kong) Ltd.","德國寶（香港）有限公司","2773 2812","2020-01-06"
"Part 5 – Approved Domestic Gas Appliances which have not been revalidated for renewal of approval, after the expiry of 5-year approval period","Built-in Hotplate 2 Burners","嵌入式雙頭平面爐","GERMAN POOL","德國寶","GP10-LG2","GLASS TOP PANEL","玻璃面版","The People's Republic of China","中華人民共和國","German Pool (Hong Kong) Ltd.","德國寶（香港）有限公司","2773 2812","2011-03-09"
"Part 5 – Approved Domestic Gas Appliances which have not been revalidated for renewal of approval, after the expiry of 5-year approval period","Built-in Hotplate 2 Burners","嵌入式雙頭平面爐","giggas","上將","BGC-750","GLASS TOP PANEL","玻璃面版","The People's Republic of China","中華人民共和國","World Engineering Limited","上將工程有限公司","2347 9278","2011-06-25"
"Part 5 – Approved Domestic Gas Appliances which have not been revalidated for renewal of approval, after the expiry of 5-year approval period","Built-in Hotplate 2 Burners","嵌入式雙頭平面爐","giggas","上將","GA-898","GLASS TOP PANEL","玻璃面版","The People's Republic of China","中華人民共和國","World Engineering Limited","上將工程有限公司","2347 9278","2015-01-18"
"Part 5 – Approved Domestic Gas Appliances which have not been revalidated for renewal of approval, after the expiry of 5-year approval period","Built-in Hotplate 2 Burners","嵌入式雙頭平面爐","giggas","上將","BGC-790(LPG)","GLASS TOP PANEL","玻璃面版","The People's Republic of China","中華人民共和國","World Engineering Limited","上將工程有限公司","2347 9278","2015-06-08"
"Part 5 – Approved Domestic Gas Appliances which have not been revalidated for renewal of approval, after the expiry of 5-year approval period","Built-in Hotplate 2 Burners","嵌入式雙頭平面爐","giggas","上將","GA-998(LPG)","GLASS TOP PANEL","玻璃面版","The People's Republic of China","中華人民共和國","World Engineering Limited","上將工程有限公司","2347 9278","2017-12-26"
"Part 5 – Approved Domestic Gas Appliances which have not been revalidated for renewal of approval, after the expiry of 5-year approval period","Built-in Hotplate 2 Burners","嵌入式雙頭平面爐","giggas","上將","GA-950(LPG)","GLASS TOP PANEL","玻璃面版","The People's Republic of China","中華人民共和國","World Engineering Limited","上將工程有限公司","2347 9278","2021-03-22"
"Part 5 – Approved Domestic Gas Appliances which have not been revalidated for renewal of approval, after the expiry of 5-year approval period","Built-in Hotplate 2 Burners","嵌入式雙頭平面爐","Goldline","","GL2N","GLASS TOP PANEL, DC POWERED TOP PANEL","玻璃, 直流電面版","Australia","澳洲","Alpha Appliances Ltd","第一電業有限公司","2529 7555","2009-05-13"
"Part 5 – Approved Domestic Gas Appliances which have not been revalidated for renewal of approval, after the expiry of 5-year approval period","Built-in Hotplate 2 Burners","嵌入式雙頭平面爐","Gorenje","歌爾","GC340AC-LPG","CERAMIC GLASS TOP PANEL","陶瓷玻璃面版","Czech Republic","捷克","Toptech Co. Limited","高端有限公司","2828 4426","2017-02-09"
"Part 5 – Approved Domestic Gas Appliances which have not been revalidated for renewal of approval, after the expiry of 5-year approval period","Built-in Hotplate 2 Burners","嵌入式雙頭平面爐","Gorenje","歌爾","GCS330C","GLASS TOP PANEL","玻璃面版","Slovenia","斯洛文尼亞","Toptech Co. Limited","高端有限公司","2828 4426","2013-07-14"
"Part 5 – Approved Domestic Gas Appliances which have not been revalidated for renewal of approval, after the expiry of 5-year approval period","Built-in Hotplate 2 Burners","嵌入式雙頭平面爐","Groovy","","GR-200","GLASS TOP PANEL","玻璃面版","The People's Republic of China","中華人民共和國","Sunrise Enterprise HK Limited","朗昇企業香港有限公司","2690 0968","2011-08-30"
"Part 5 – Approved Domestic Gas Appliances which have not been revalidated for renewal of approval, after the expiry of 5-year approval period","Built-in Hotplate 2 Burners","嵌入式雙頭平面爐","Groovy","","GR-200 II","GLASS TOP PANEL","玻璃面版","The People's Republic of China","中華人民共和國","Sunrise Enterprise HK Limited","朗昇企業香港有限公司","2690 0968","2017-04-24"
"Part 5 – Approved Domestic Gas Appliances which have not been revalidated for renewal of approval, after the expiry of 5-year approval period","Built-in Hotplate 2 Burners","嵌入式雙頭平面爐","Hibachi","氣霸","HY-2612AT","GLASS TOP PANEL","玻璃面版","The People's Republic of China","中華人民共和國","Hibachi Gas Cooker Limited","氣霸爐具有限公司","2300 1357","2017-09-12"
"Part 5 – Approved Domestic Gas Appliances which have not been revalidated for renewal of approval, after the expiry of 5-year approval period","Built-in Hotplate 2 Burners","嵌入式雙頭平面爐","Hibachi","氣霸","HY-288","GLASS TOP PANEL, DC POWERED TOP PANEL","玻璃, 直流電面版","The People's Republic of China","中華人民共和國","Hibachi Gas Cooker Limited","氣霸爐具有限公司","2300 1357","2016-05-11"
"Part 5 – Approved Domestic Gas Appliances which have not been revalidated for renewal of approval, after the expiry of 5-year approval period","Built-in Hotplate 2 Burners","嵌入式雙頭平面爐","Hibachi","氣霸","HY-238","GLASS TOP PANEL, DC POWERED TOP PANEL","玻璃, 直流電面版","The People's Republic of China","中華人民共和國","Hibachi Gas Cooker Limited","氣霸爐具有限公司","2300 1357","2016-05-11"
"Part 5 – Approved Domestic Gas Appliances which have not been revalidated for renewal of approval, after the expiry of 5-year approval period","Built-in Hotplate 2 Burners","嵌入式雙頭平面爐","Hibachi","氣霸","HY-2388A","GLASS TOP PANEL","玻璃面版","The People's Republic of China","中華人民共和國","Hibachi Gas Cooker Limited","氣霸爐具有限公司","2300 1357","2016-02-15"
"Part 5 – Approved Domestic Gas Appliances which have not been revalidated for renewal of approval, after the expiry of 5-year approval period","Built-in Hotplate 2 Burners","嵌入式雙頭平面爐","Hibachi","氣霸","HY-2316BS","GLASS TOP PANEL","玻璃面版","The People's Republic of China","中華人民共和國","Hibachi Gas Cooker Limited","氣霸爐具有限公司","2300 1357","2018-08-27"
"Part 5 – Approved Domestic Gas Appliances which have not been revalidated for renewal of approval, after the expiry of 5-year approval period","Built-in Hotplate 2 Burners","嵌入式雙頭平面爐","Hibachi","氣霸","HY-2628S","GLASS TOP PANEL","玻璃面版","The People's Republic of China","中華人民共和國","Hibachi Gas Cooker Limited","氣霸爐具有限公司","2300 1357","2019-08-20"
