SCHEDULE NUMBER,NEGOTIATION NUMBER,BLANK1,COMPANY IDENTIFYING INFORMATION ,SIC Code,BLANK2,SIC Code,SIC Code,BLANK3,TYPE OF BARGAINING UNIT,BLANK4,REGIONAL OR STATE,BLANK5,LOCATION,BLANK6,UNION,BLANK7,UNION CODE,BLANK8,NUMBER OF EMPLOYEES,BLANK9,NEGOTIATION DATE,BLANK10,AGREEMENT EFFECTIVE DATE,BLANK11,NEW EXPIRATION DATE,BLANK12,REOPENING DATE,BLANK13,ESCALATOR OVERALL CONTROL,INDEX CODE,BLANK14,TYPE OF ESCALATOR CLAUSE,MINIMUM AND/OR MAXIMUM CODE,BLANK15,CPI BASE YEAR,BLANK16,CPI FORMULA,BLANK17,DATE OF FIRST COST-OF-LIVING REVIEW,BLANK18,DATE OF LAST COST-OF-LIVING REVIEW,BLANK19,WORK STOPPAGE BEGINNING DATE,BLANK20,WORK STOPPAGE ENDING DATE
23075,55,,COTTON GARMENT NEGOTIATING GROUP,50,,Apparel And Other Finished Products Made From Fabrics And Similar Materials,20,,MORE THAN ONE COMPANY,,NATIONAL OR MULTI-REGIONAL,,NATIONAL,,CLOTHING AND TEXTILE WORKERS,,CLOTHING AND TEXTILE WORKERS,,11000,,9/1/94,,8/28/94,,8/31/96,,,,,,,,,,,,,,,,,,,,
23090,51,,HEALTHTEX DIV OF VF CORP,50,,Apparel And Other Finished Products Made From Fabrics And Similar Materials,39,,"MULTIPLANT, ONE COMPANY",,NATIONAL OR MULTI-REGIONAL,,NATIONAL,,CLOTHING AND TEXTILE WORKERS,,CLOTHING AND TEXTILE WORKERS,,935,,3/1/91,,3/1/91,,3/13/94,,,,,,,,,,,,,,,,,,,,
23090,52,,HEALTHTEX DIV OF VF CORP,50,,Apparel And Other Finished Products Made From Fabrics And Similar Materials,39,,"MULTIPLANT, ONE COMPANY",,NATIONAL OR MULTI-REGIONAL,,NATIONAL,,CLOTHING AND TEXTILE WORKERS,,CLOTHING AND TEXTILE WORKERS,,1200,,3/18/94,,3/14/94,,3/13/97,,,,,,,,,,,,,,,,,,3/14/94,,3/17/94
23103,51,,LEVI STRAUSS & CO,50,,Apparel And Other Finished Products Made From Fabrics And Similar Materials,25,,"MULTIPLANT, ONE COMPANY",,NATIONAL OR MULTI-REGIONAL,,NATIONAL,,CLOTHING AND TEXTILE WORKERS,,CLOTHING AND TEXTILE WORKERS,,5600,,12/15/94,,9/5/94,,8/31/95,,,,,,,,,,,,,,,,,,,,
23105,51,,TULTEX CORP,50,,Apparel And Other Finished Products Made From Fabrics And Similar Materials,21,,"MULTIPLANT, ONE COMPANY",,VIRGINIA,,VA MARTINSVIL,,CLOTHING AND TEXTILE WORKERS,,CLOTHING AND TEXTILE WORKERS,,2200,,3/26/95,,4/3/95,,4/2/98,,,,,,,,,,,,,,,,,,,,
28025,54,,NORTH AMERICAN RAYON CORP,50,,Chemicals And Allied Products,18,,"SINGLE PLANT, ONE COMPANY",,TENNESSEE,,TN,,CLOTHING AND TEXTILE WORKERS,,CLOTHING AND TEXTILE WORKERS,,1450,,4/1/80,,4/1/80,,3/31/83,,,,,,,,,,,,,,,,,,,,
28026,54,,CILANESE CORP OF AMERICA,50,,Chemicals And Allied Products,23,,"MULTIPLANT, ONE COMPANY",,SOUTH ATLANTIC REGION,,SOUTH ATLANT,,CLOTHING AND TEXTILE WORKERS,,CLOTHING AND TEXTILE WORKERS,,4000,,6/19/80,,6/19/80,,6/19/83,,,,,,,,,,,,,,,,,,,,
28026,55,,"CELANESE CORP OF AMER, FIBERS DIV    K1627",50,,Chemicals And Allied Products,23,,"MULTIPLANT, ONE COMPANY",,SOUTH ATLANTIC REGION,,SO ATLANTIC,,CLOTHING AND TEXTILE WORKERS,,CLOTHING AND TEXTILE WORKERS,,4000,,6/19/83,,6/19/83,,6/18/86,,,,,,,,,,,,,,,,,,,,
28026,56,,"CELANESE CORP OF AMERICA,FIBERS DIV K1627",50,,Chemicals And Allied Products,23,,"MULTIPLANT, ONE COMPANY",,SOUTH ATLANTIC REGION,,SO ATLANTIC,,CLOTHING AND TEXTILE WORKERS,,CLOTHING AND TEXTILE WORKERS,,3250,,6/20/86,,6/19/86,,6/19/89,,,,,,,,,,,,,,,,,,,,
28026,57,,"CELANESE CORP OF AMERICA, FIBERS DIV K1627",50,,Chemicals And Allied Products,23,,"MULTIPLANT, ONE COMPANY",,SOUTH ATLANTIC REGION,,SO ATLANTIC,,CLOTHING AND TEXTILE WORKERS,,CLOTHING AND TEXTILE WORKERS,,2750,,6/21/89,,6/21/89,,6/19/92,,,,,,,,,,,,,,,,,,,,
28026,58,,"CELANESE CORP OF AMERICA,FIBERS DIV   K1627",50,,Chemicals And Allied Products,23,,"MULTIPLANT, ONE COMPANY",,SOUTH ATLANTIC REGION,,SO ATLANTIC,,CLOTHING AND TEXTILE WORKERS,,CLOTHING AND TEXTILE WORKERS,,3000,,6/26/92,,6/27/92,,6/26/95,,,,,,,,,,,,,,,,,,,,
28026,59,,HOECHST CELANESE,50,,Chemicals And Allied Products,23,,"MULTIPLANT, ONE COMPANY",,SOUTH ATLANTIC REGION,,SO ATLANTIC,,CLOTHING AND TEXTILE WORKERS,,CLOTHING AND TEXTILE WORKERS,,2900,,6/27/95,,6/27/95,,12/31/99,,,,,,,,,,,,,,,,,,,,
28037,56,,AMERICAN ENKA         K1633,50,,Chemicals And Allied Products,23,,"SINGLE PLANT, ONE COMPANY",,TENNESSEE,,"TN,LOWLAND",,CLOTHING AND TEXTILE WORKERS,,TEXTILE WORKERS,,2200,,10/23/82,,10/15/82,,10/15/85,,,,"C-OF-L REOPENER CONTINUED UNCHANGED, NO CODING IN SUBFIELDS",,,,,,,,,,,,,,,,
28037,57,,BASF FIBERS (FORM. AMERICAN ENKA),50,,Chemicals And Allied Products,23,,"SINGLE PLANT, ONE COMPANY",,TENNESSEE,,"TN,LOWLAND",,CLOTHING AND TEXTILE WORKERS,,TEXTILE WORKERS,,1900,,1/15/86,,1/15/86,,1/15/89,,,,"C-OF-L REOPENER INTRODUCED, NO CODING IN SUBFIELDS",,,,,,,,,,,,,,,,
28037,58,,BASF FIBERS (FORMERLY AMERICAN ENKA),50,,Chemicals And Allied Products,23,,"SINGLE PLANT, ONE COMPANY",,TENNESSEE,,"TN,LOWLANDS",,CLOTHING AND TEXTILE WORKERS,,TEXTILE WORKERS,,2000,,1/15/89,,1/15/89,,1/15/92,,,,"CLAUSE CONTINUED UNCHANGED (including incorporation of float or change in base), CODE ALL SUBFIELDS",U.S. CITY AVERAGE.- CPI-W,,ANNUAL IN JANUARY,NO MINIMUM OR MAXIMUM ADJUSTMENT,,1967 = 100,,AT&T OR OTHER FORMULAS,,1/15/91,,1/15/91,,,,
28037,59,,BASF FIBERS (ENKA),50,,Chemicals And Allied Products,23,,"SINGLE PLANT, ONE COMPANY",,TENNESSEE,,"TN,LOWLAND",,CLOTHING AND TEXTILE WORKERS,,TEXTILE WORKERS,,1800,,1/11/92,,1/13/92,,1/15/95,,,,"CLAUSE CONTINUED UNCHANGED (including incorporation of float or change in base), CODE ALL SUBFIELDS",U.S. CITY AVERAGE.- CPI-W,,ANNUAL IN JANUARY,NO MINIMUM OR MAXIMUM ADJUSTMENT,,1967 = 100,,AT&T OR OTHER FORMULAS,,1/13/93,,1/17/94,,,,
28037,60,,BASF FIBERS ENKA,50,,Chemicals And Allied Products,23,,"SINGLE PLANT, ONE COMPANY",,TENNESSEE,,TN COWLAND,,CLOTHING AND TEXTILE WORKERS,,TEXTILE WORKERS,,1800,,1/13/95,,1/13/95,,1/15/96,,,,"CLAUSE DISCONTINUED, NO CODING IN SUBFIELDS",,,,,,,,,,,,,,,,
28070,54,,JOHNSON AND JOHNSON,50,,Chemicals And Allied Products,44,,"SINGLE PLANT, ONE COMPANY",,NEW JERSEY,,"NJ,BRUNSWICK",,CLOTHING AND TEXTILE WORKERS,,CLOTHING AND TEXTILE WORKERS,,1650,,6/1/79,,6/1/79,,6/18/81,,,,,,,,,,,,,,,,,,,,
28070,56,,"JOHNSON & JOHNSON , ETHICON INC",50,,Chemicals And Allied Products,44,,"MULTIPLANT, ONE COMPANY",,NEW JERSEY,,"NJ,BRUNSWICK",,CLOTHING AND TEXTILE WORKERS,,CLOTHING AND TEXTILE WORKERS,,1500,,6/15/83,,6/15/83,,6/15/85,,,,,,,,,,,,,,,,,,,,
28070,58,,JOHNSON & JOHNSON & ETHICON INC,50,,Chemicals And Allied Products,44,,"MULTIPLANT, ONE COMPANY",,NEW JERSEY,,"NJ,BRUNSWICK",,CLOTHING AND TEXTILE WORKERS,,CLOTHING AND TEXTILE WORKERS,,1353,,6/11/87,,6/15/87,,6/15/89,,,,,,,,,,,,,,,,,,,,
28070,59,,JOHNSON&JOHNSON&ETHICON INC,50,,Chemicals And Allied Products,44,,"MULTIPLANT, ONE COMPANY",,NEW JERSEY,,"NJ,BRUNSWICK",,CLOTHING AND TEXTILE WORKERS,,CLOTHING AND TEXTILE WORKERS,,1330,,6/15/89,,6/15/89,,6/15/91,,,,,,,,,,,,,,,,,,,,
28070,60,,"JOHNSON & JOHNSON AND ETHICON, INC",50,,Chemicals And Allied Products,44,,"MULTIPLANT, ONE COMPANY",,NEW JERSEY,,NJ,,CLOTHING AND TEXTILE WORKERS,,CLOTHING AND TEXTILE WORKERS,,1200,,6/14/91,,6/15/91,,6/14/93,,,,,,,,,,,,,,,,,,,,
30040,51,,"WELLMAN,INC  LU 2398",50,,Rubber And Miscellaneous Plastics Products,81,,"SINGLE PLANT, ONE COMPANY",,SOUTH CAROLINA,,"SC,JOHNSONVIL",,CLOTHING AND TEXTILE WORKERS,,CLOTHING AND TEXTILE WORKERS,,1400,,7/19/90,,7/19/90,,7/18/93,,,,,,,,,,,,,,,,,,,,
38010,54,,XEROX CORP,50,,"Measuring, Analyzing, And Controlling Instruments; Photographic, Medical And Optical Goods; Watches And Clocks",61,,"SINGLE PLANT, ONE COMPANY",,NEW YORK,,"NY,ROCHESTER",,CLOTHING AND TEXTILE WORKERS,,CLOTHING AND TEXTILE WORKERS,,4500,,4/3/80,,3/18/80,,3/17/83,,,,"CLAUSE CONTINUED UNCHANGED (including incorporation of float or change in base), CODE ALL SUBFIELDS",U.S. CITY AVERAGE.- CPI-W,,"MARCH, JUNE, SEPTEMBER, AND DECEMBER",NO MINIMUM OR MAXIMUM ADJUSTMENT,,1967 = 100,,1 CENT FOR EACH 0.3 PT. CHANGE,,3/18/80,,12/18/82,,,,
38010,55,,XEROX CORP,50,,"Measuring, Analyzing, And Controlling Instruments; Photographic, Medical And Optical Goods; Watches And Clocks",61,,"SINGLE PLANT, ONE COMPANY",,NEW YORK,,"NY,ROCHESTER",,CLOTHING AND TEXTILE WORKERS,,CLOTHING AND TEXTILE WORKERS,,3250,,4/15/83,,3/17/83,,3/16/86,,,,"CLAUSE CONTINUED UNCHANGED (including incorporation of float or change in base), CODE ALL SUBFIELDS",U.S. CITY AVERAGE.- CPI-W,,"MARCH, JUNE, SEPTEMBER, AND DECEMBER",MAXIMUM BUT NO MINIMUM,,1967 = 100,,1 CENT FOR EACH 0.3 PT. CHANGE,,3/1/84,,3/1/86,,,,
38010,56,,XEROX CORP,50,,"Measuring, Analyzing, And Controlling Instruments; Photographic, Medical And Optical Goods; Watches And Clocks",61,,"SINGLE PLANT, ONE COMPANY",,NEW YORK,,"NY,ROCHESTER",,CLOTHING AND TEXTILE WORKERS,,CLOTHING AND TEXTILE WORKERS,,3400,,3/27/86,,3/27/86,,3/27/89,,,,"CLAUSE CONTINUED UNCHANGED (including incorporation of float or change in base), CODE ALL SUBFIELDS",U.S. CITY AVERAGE.- CPI-W,,"MARCH, JUNE, SEPTEMBER, AND DECEMBER",MAXIMUM BUT NO MINIMUM,,1967 = 100,,1 CENT FOR EACH 0.3 PT. CHANGE,,3/1/87,,12/19/88,,,,
38010,58,,XEROX CORP,50,,"Measuring, Analyzing, And Controlling Instruments; Photographic, Medical And Optical Goods; Watches And Clocks",61,,"SINGLE PLANT, ONE COMPANY",,NEW YORK,,"NY,ROCHESTER",,CLOTHING AND TEXTILE WORKERS,,CLOTHING AND TEXTILE WORKERS,,4000,,4/6/92,,3/23/92,,3/16/95,,,,"CLAUSE CONTINUED UNCHANGED (including incorporation of float or change in base), CODE ALL SUBFIELDS",U.S. CITY AVERAGE.- CPI-W,,ANNUAL IN MARCH,MAXIMUM BUT NO MINIMUM,,1967 = 100,,1 CENT FOR EACH 0.3 PT. CHANGE,,3/24/93,,3/24/94,,,,
38010,59,,XEROX CORP MFG SUPPORT DIV,50,,"Measuring, Analyzing, And Controlling Instruments; Photographic, Medical And Optical Goods; Watches And Clocks",61,,"SINGLE PLANT, ONE COMPANY",,NEW YORK,,"NY,ROCHESTER",,CLOTHING AND TEXTILE WORKERS,,CLOTHING AND TEXTILE WORKERS,,3850,,6/7/94,,6/8/94,,12/31/99,,,,"CLAUSE CONTINUED UNCHANGED (including incorporation of float or change in base), CODE ALL SUBFIELDS",U.S. CITY AVERAGE.- CPI-W,,"MARCH, JUNE, SEPTEMBER, AND DECEMBER",MAXIMUM BUT NO MINIMUM,,1967 = 100,,1 CENT FOR EACH 0.3 PT. CHANGE,,6/21/94,,3/18/98,,,,
72002,53,,NY LAUNDRY OPERATORS,,,Personal Services,10,,MORE THAN ONE COMPANY,,NEW YORK,,"NY,NEW YORK",,CLOTHING AND TEXTILE WORKERS,,CLOTHING AND TEXTILE WORKERS,,5000,,12/3/78,,12/1/78,,11/30/81,,,,,,,,,,,,,,,,,,,,
72002,54,,NY LAUNDRY OEPRATORS,50,,Personal Services,10,,MORE THAN ONE COMPANY,,NEW YORK,,"NY,NEW YORK",,CLOTHING AND TEXTILE WORKERS,,CLOTHING AND TEXTILE WORKERS,,6000,,12/1/81,,12/1/81,,11/30/84,,,,,,,,,,,,,,,,,,,,
72002,55,,NY LAUNDRY OPERATORS,50,,Personal Services,10,,MORE THAN ONE COMPANY,,NEW YORK,,"NY,NY",,CLOTHING AND TEXTILE WORKERS,,CLOTHING AND TEXTILE WORKERS,,5000,,11/30/84,,12/1/84,,11/30/87,,,,,,,,,,,,,,,,,,,,
72002,56,,NY LAUNDRY OPERATORS,50,,Personal Services,10,,MORE THAN ONE COMPANY,,NEW YORK,,"NY,NY",,CLOTHING AND TEXTILE WORKERS,,CLOTHING AND TEXTILE WORKERS,,6000,,11/30/87,,12/1/87,,11/30/90,,,,,,,,,,,,,,,,,,,,
72002,57,,NY LAUNDRY OPERATORS,50,,Personal Services,10,,MORE THAN ONE COMPANY,,NEW YORK,,"NY,NY",,CLOTHING AND TEXTILE WORKERS,,CLOTHING AND TEXTILE WORKERS,,4000,,12/22/90,,12/1/90,,11/30/93,,,,,,,,,,,,,,,,,,,,
72002,58,,NY LAUNDRY OPERATORS,50,,Personal Services,10,,MORE THAN ONE COMPANY,,NEW YORK,,"NY,NY",,CLOTHING AND TEXTILE WORKERS,,CLOTHING AND TEXTILE WORKERS,,4200,,12/22/93,,12/1/93,,11/30/96,,,,,,,,,,,,,,,,,,,,
33009,51,,ML INDUSTRIES INC,,,Primary Metal Industries,61,,"MULTIPLANT, ONE COMPANY",,NATIONAL OR MULTI-REGIONAL,,NATIONAL,,AUTO WORKERS,,AUTO WORKERS,,4500,,7/5/71,,7/2/71,,8/25/74,,,,,,,,,,,,,,,,,,,,
33009,55,,NL INDUSTRIES - DOEHLER JARVIS,50,,Primary Metal Industries,69,,"MULTIPLANT, ONE COMPANY",,NATIONAL OR MULTI-REGIONAL,,NATIONAL,,AUTO WORKERS,,AUTO WORKERS,,850,,7/23/83,,7/25/83,,7/25/86,,,,CHANGE IN COLA CLAUSE DECREASING WAGE ADJUSTMENT,U.S. CITY AVERAGE.- CPI-W,,"MARCH, JUNE, SEPTEMBER, AND DECEMBER",MAXIMUM BUT NO MINIMUM,,1967 = 100,,1 CENT FOR EACH 0.4 PT. CHANGE,,9/1/84,,6/1/86,,,,
33009,56,,DOEHLER-JARVIS FARLEY INDUSTRIES K2614,50,,Primary Metal Industries,69,,"MULTIPLANT, ONE COMPANY",,NATIONAL OR MULTI-REGIONAL,,NATIONAL,,AUTO WORKERS,,AUTO WORKERS,,1200,,4/1/86,,4/1/86,,7/25/88,,,,CLAUSE SUSPENDED,,,SUSPENDED,,,,,,,,,,,,,
33009,57,,DOEHLER-JARVIS FARLEY INDUSTRIES K2614,50,,Primary Metal Industries,69,,"MULTIPLANT, ONE COMPANY",,NATIONAL OR MULTI-REGIONAL,,NATIONAL,,AUTO WORKERS,,AUTO WORKERS,,1200,,6/1/87,,6/1/87,,9/30/91,,,,CLAUSE SUSPENDED,,,SUSPENDED,,,,,,,,,,,,,
33009,58,,DOEHLER-JARVIS/FARLEY IND. INC,50,,Primary Metal Industries,69,,"MULTIPLANT, ONE COMPANY",,NATIONAL OR MULTI-REGIONAL,,NATIONAL,,AUTO WORKERS,,AUTO WORKERS,,1000,,12/28/88,,12/28/88,,10/31/93,,,,,,,,,,,,,,,,,,,,
33009,59,,DOEHLER-JARVIS IND,50,,Primary Metal Industries,69,,"MULTIPLANT, ONE COMPANY",,NATIONAL OR MULTI-REGIONAL,,NATIONAL,,AUTO WORKERS,,AUTO WORKERS,,800,,12/13/93,,11/1/93,,10/31/96,,,,,,,,,,,,,,,,,,,,
33153,51,,ROUGE STEEL CO,50,,Primary Metal Industries,12,,"SINGLE PLANT, ONE COMPANY",,MICHIGAN,,MI,,AUTO WORKERS,,AUTO WORKERS,,15000,,9/26/83,,9/26/83,,7/31/86,,,,CHANGE IN COLA CLAUSE DECREASING WAGE ADJUSTMENT,U.S. CITY AVERAGE.- CPI-W,,"MARCH, JUNE, SEPTEMBER, AND DECEMBER",NO MINIMUM OR MAXIMUM ADJUSTMENT,,Unknown or Other,,AT&T OR OTHER FORMULAS,,12/5/83,,6/5/86,,,,
33153,52,,ROUGE CO,50,,Primary Metal Industries,12,,"SINGLE PLANT, ONE COMPANY",,MICHIGAN,,"MI,DEARBORN",,AUTO WORKERS,,AUTO WORKERS,,3800,,7/17/87,,7/17/87,,9/14/90,,,,"CLAUSE DISCONTINUED, NO CODING IN SUBFIELDS",,,,,,,,,,,,,,,,
33153,53,,MARICO ROUGE STEEL CO,50,,Primary Metal Industries,12,,"SINGLE PLANT, ONE COMPANY",,MICHIGAN,,"MI,DEARBORN",,AUTO WORKERS,,AUTO WORKERS,,3500,,12/13/89,,12/1/89,,8/1/92,,,,,,,,,,,,,,,,,,,,
33153,54,,MARICO-ROUGE STEEL CO,50,,Primary Metal Industries,12,,"SINGLE PLANT, ONE COMPANY",,MICHIGAN,,"MI,DEARBORN",,AUTO WORKERS,,AUTO WORKERS,,2500,,6/15/92,,6/15/92,,8/1/95,,,,,,,,,,,,,,,,,,,,
33153,55,,ROUGE STEEL CO,50,,Primary Metal Industries,12,,"SINGLE PLANT, ONE COMPANY",,MICHIGAN,,"MI,DEARBORN",,AUTO WORKERS,,AUTO WORKERS,,2600,,8/8/95,,8/14/95,,12/31/99,,,,,,,,,,,,,,,,,,,,
34053,52,,FISHER CONTROLS CO,,,"Fabricated Metal Products, Except Machinery And Transportation Equipment",94,,"SINGLE PLANT, ONE COMPANY",,IOWA,,"IA,MARSHALLTO",,AUTO WORKERS,,AUTO WORKERS,,1550,,8/17/74,,8/18/74,,8/13/77,,,,"CLAUSE CONTINUED UNCHANGED (including incorporation of float or change in base), CODE ALL SUBFIELDS",U.S. CITY AVERAGE.- CPI-W,,"JANUARY, APRIL, JULY, AND OCTOBER",NO MINIMUM OR MAXIMUM ADJUSTMENT,,1967 = 100,,1 CENT FOR EACH 0.4 PT. CHANGE,,10/1/74,,7/1/77,,7/29/74,,8/15/74
34053,53,,FISHER CONTROLS                          K-2962,,,"Fabricated Metal Products, Except Machinery And Transportation Equipment",94,,"SINGLE PLANT, ONE COMPANY",,IOWA,,"IA,MRSLLTOWN",,AUTO WORKERS,,AUTO WORKERS,,1700,,8/13/77,,8/15/77,,8/14/80,,,,"CLAUSE CONTINUED UNCHANGED (including incorporation of float or change in base), CODE ALL SUBFIELDS",U.S. CITY AVERAGE.- CPI-W,,"JANUARY, APRIL, JULY, AND OCTOBER",NO MINIMUM OR MAXIMUM ADJUSTMENT,,1967 = 100,,1 CENT FOR EACH 0.4 PT. CHANGE,,10/1/77,,7/1/80,,,,
34053,55,,FISHER CONTROLS CO,50,,"Fabricated Metal Products, Except Machinery And Transportation Equipment",94,,"SINGLE PLANT, ONE COMPANY",,IOWA,,"IA,MARSHALLTN",,AUTO WORKERS,,AUTO WORKERS,,1300,,8/14/83,,8/14/83,,8/16/86,,,,CHANGE IN COLA CLAUSE DECREASING WAGE ADJUSTMENT,U.S. CITY AVERAGE.- CPI-W,,"JANUARY, APRIL, JULY, AND OCTOBER",MAXIMUM BUT NO MINIMUM,,1967 = 100,,1 CENT FOR EACH 0.4 PT. CHANGE,,10/1/83,,7/1/86,,,,
34053,57,,FISHER CONTROLS,50,,"Fabricated Metal Products, Except Machinery And Transportation Equipment",94,,"SINGLE PLANT, ONE COMPANY",,IOWA,,"IA,MARSHALTWN",,AUTO WORKERS,,AUTO WORKERS,,1065,,8/3/89,,9/1/89,,8/28/92,,,,,,,,,,,,,,,,,,,,
34053,58,,FISHER CONTROLS,50,,"Fabricated Metal Products, Except Machinery And Transportation Equipment",94,,"SINGLE PLANT, ONE COMPANY",,IOWA,,"IA,MARSHALTWN",,AUTO WORKERS,,AUTO WORKERS,,1025,,8/12/92,,8/10/92,,8/12/95,,,,,,,,,,,,,,,,,,,,
34054,53,,KOHLER CO                                K-2957,,,"Fabricated Metal Products, Except Machinery And Transportation Equipment",31,,"SINGLE PLANT, ONE COMPANY",,WISCONSIN,,"WI,KOHLER",,AUTO WORKERS,,AUTO WORKERS,,3750,,9/30/77,,10/1/77,,9/30/80,,,,"CLAUSE CONTINUED UNCHANGED (including incorporation of float or change in base), CODE ALL SUBFIELDS","MILWAUKEE, WISCONSIN.- CPI-W",,"FEBRUARY, MAY, AUGUST, AND NOVEMBER",NO MINIMUM OR MAXIMUM ADJUSTMENT,,1967 = 100,,1 CENT FOR EACH 0.3 PT. CHANGE,,11/1/77,,8/1/80,,,,
34054,54,,KOHLER CO K 2957,50,,"Fabricated Metal Products, Except Machinery And Transportation Equipment",31,,"SINGLE PLANT, ONE COMPANY",,WISCONSIN,,"WI,KOHLER",,AUTO WORKERS,,AUTO WORKERS,,3600,,10/1/80,,9/29/80,,10/1/83,,,,CHANGE IN COLA CLAUSE INCREASING WAGE ADJUSTMENT,U.S. CITY AVERAGE.- CPI-W,,"JANUARY, APRIL, JULY, AND OCTOBER",NO MINIMUM OR MAXIMUM ADJUSTMENT,,1967 = 100,,AT&T OR OTHER FORMULAS,,1/1/81,,7/1/83,,,,
34054,55,,KOHLER CO   K2957,50,,"Fabricated Metal Products, Except Machinery And Transportation Equipment",31,,"SINGLE PLANT, ONE COMPANY",,WISCONSIN,,"WI,KOHLER",,AUTO WORKERS,,AUTO WORKERS,,3000,,10/18/83,,10/1/83,,10/1/86,,,,CHANGE IN COLA CLAUSE DECREASING WAGE ADJUSTMENT,U.S. CITY AVERAGE.- CPI-W,,"JANUARY, APRIL, JULY, AND OCTOBER",NO MINIMUM OR MAXIMUM ADJUSTMENT,,1967 = 100,,1 CENT FOR EACH 0.35 POINT CHANGE,,10/1/84,,7/1/86,,10/1/83,,10/18/83
34054,56,,KOHLER CO K2957  414-457-4441,50,,"Fabricated Metal Products, Except Machinery And Transportation Equipment",31,,"SINGLE PLANT, ONE COMPANY",,WISCONSIN,,"WI,KOHLER",,AUTO WORKERS,,AUTO WORKERS,,3300,,10/15/86,,10/1/86,,9/30/90,,,,CHANGE IN COLA CLAUSE DECREASING WAGE ADJUSTMENT,U.S. CITY AVERAGE.- CPI-W,,"JANUARY, APRIL, JULY, AND OCTOBER",MAXIMUM BUT NO MINIMUM,,1967 = 100,,AT&T OR OTHER FORMULAS,,10/1/87,,7/1/90,,,,
34054,57,,KOHLER CO K2957   414 457 4441,50,,"Fabricated Metal Products, Except Machinery And Transportation Equipment",31,,"SINGLE PLANT, ONE COMPANY",,WISCONSIN,,"WI,KOHLER",,AUTO WORKERS,,AUTO WORKERS,,3300,,9/30/90,,10/1/90,,9/30/94,,,,"CLAUSE DISCONTINUED, NO CODING IN SUBFIELDS",,,,,,,,,,,,,,,,
34054,58,,KOHLER CO K2957   414 457 4441,50,,"Fabricated Metal Products, Except Machinery And Transportation Equipment",31,,"SINGLE PLANT, ONE COMPANY",,WISCONSIN,,"WI,KOHLER",,AUTO WORKERS,,AUTO WORKERS,,3500,,10/1/94,,10/1/94,,9/30/98,,,,,,,,,,,,,,,,,,,,
34055,52,,MASTER LOCK CO                           K-2980,,,"Fabricated Metal Products, Except Machinery And Transportation Equipment",20,,"SINGLE PLANT, ONE COMPANY",,WISCONSIN,,"WI,MILWAUKEE",,AUTO WORKERS,,AUTO WORKERS,,1200,,6/1/74,,6/1/74,,5/30/76,,,,,,,,,,,,,,,,,,,,
34055,55,,MASTER LOCK CO K 2980,50,,"Fabricated Metal Products, Except Machinery And Transportation Equipment",29,,"SINGLE PLANT, ONE COMPANY",,WISCONSIN,,"WI,MILWAUKEE",,AUTO WORKERS,,AUTO WORKERS,,1200,,8/23/80,,8/27/80,,6/3/83,,,,CHANGE IN COLA CLAUSE NO EFFECT ON WAGE ADJUSTMENT,U.S. CITY AVERAGE.- CPI-W,,JANUARY AND JULY,MAXIMUM BUT NO MINIMUM,,1967 = 100,,1 CENT FOR EACH 0.3 % CHANGE,,10/1/80,,4/1/83,,6/2/80,,8/23/80
34055,56,,MASTER LOCK CO    K2980,50,,"Fabricated Metal Products, Except Machinery And Transportation Equipment",29,,"SINGLE PLANT, ONE COMPANY",,WISCONSIN,,"WI,MILWAUKEE",,AUTO WORKERS,,AUTO WORKERS,,1000,,6/4/83,,6/5/83,,6/1/86,,,,"CLAUSE CONTINUED UNCHANGED (including incorporation of float or change in base), CODE ALL SUBFIELDS",U.S. CITY AVERAGE.- CPI-W,,JANUARY AND JULY,MAXIMUM BUT NO MINIMUM,,1967 = 100,,1 CENT FOR EACH 0.3 % CHANGE,,7/1/84,,1/1/86,,,,
34055,57,,MASTER LOCK CO K2980  414-444-2800 (CO),50,,"Fabricated Metal Products, Except Machinery And Transportation Equipment",29,,"SINGLE PLANT, ONE COMPANY",,WISCONSIN,,"WI,MILWAUKEE",,AUTO WORKERS,,AUTO WORKERS,,1050,,6/1/86,,6/1/86,,5/28/89,,,,CHANGE IN COLA CLAUSE DECREASING WAGE ADJUSTMENT,U.S. CITY AVERAGE.- CPI-W,,JANUARY AND JULY,MAXIMUM BUT NO MINIMUM,,1967 = 100,,1 CENT FOR EACH 0.3 % CHANGE,,7/1/88,,1/1/89,,,,
34055,58,,MASTER LOCK CO K 2980   414-444-2800,50,,"Fabricated Metal Products, Except Machinery And Transportation Equipment",29,,"SINGLE PLANT, ONE COMPANY",,WISCONSIN,,"WI,MILWAUKEE",,AUTO WORKERS,,AUTO WORKERS,,1500,,5/14/89,,5/29/89,,5/28/92,,,,"CLAUSE CONTINUED UNCHANGED (including incorporation of float or change in base), CODE ALL SUBFIELDS",U.S. CITY AVERAGE.- CPI-W,,JANUARY AND JULY,MAXIMUM BUT NO MINIMUM,,1967 = 100,,1 CENT FOR EACH 0.3 % CHANGE,,7/1/91,,1/1/92,,,,
